Terminal Current [C],Cycle,SOH(measured),Stage1 [C],Stage2 [C],S1 [s],S2 [s],S3 [s],Total,r_soh,r_time,r_soh_val,delta_soh,Avg Temp [°C],Throughput [Ah],Discharge Cap [Ah],Terminal V [V],LLI [%],LAM_neg [%],LAM_pos [%],c
0.01,1.0,0.991275,3.3,1.7,0.59,1270.59,3456.2,0.797239,1.0,0.493155,0.999882,0.035085,18.35,43.6085,4.8225,2.8204,0.035085,0.004671,0.0,
0.05,2.0,0.983794,4.0,3.1,0.0,569.12,2615.78,0.927893,1.0,0.819816,0.999832,0.238132,22.78,53.1908,4.7861,2.8208,0.171209,0.096351,0.087096,
0.02,3.0,0.987348,3.0,0.5,0.08,4320.0,3202.85,0.622411,1.0,0.056098,0.999858,0.183228,12.53,62.8154,4.8034,2.821,0.266433,0.163904,0.150038,
0.02,4.0,0.984487,1.8,3.4,14.28,473.69,3081.65,0.902314,0.999956,0.75591,0.999838,0.509625,21.75,72.4101,4.7894,2.8216,0.498186,0.330765,0.312301,
0.02,5.0,0.983578,1.6,1.3,30.94,1661.54,3139.23,0.786814,1.0,0.46712,0.999831,0.23549,16.07,81.99,4.785,2.8218,0.597339,0.401315,0.378267,
0.02,6.0,0.982366,1.2,1.8,373.44,978.25,3064.81,0.828125,0.999999,0.570403,0.999821,0.260393,17.41,91.5554,4.7791,2.8221,0.700857,0.475098,0.447478,
0.02,7.0,0.981183,2.8,2.0,0.24,1063.45,3071.86,0.854954,0.999999,0.637482,0.99981,0.275795,18.27,101.1096,4.7734,2.8224,0.804704,0.549189,0.517007,
0.02,8.0,0.979731,0.7,2.4,1028.57,501.14,3115.54,0.805431,0.999996,0.513682,0.999797,0.368528,17.22,110.6515,4.7663,2.8227,0.934641,0.642335,0.605609,
0.1,9.0,0.966351,1.4,2.4,130.86,743.88,2239.78,0.931914,0.999998,0.829979,0.999618,0.314409,21.31,120.0617,4.7012,2.823,1.040116,0.717823,0.676711,
0.02,10.0,0.977643,2.0,0.9,6.47,2400.0,3185.37,0.716247,0.999999,0.290731,0.999776,0.281094,14.46,129.5867,4.7561,2.8232,1.131053,0.782695,0.737066,
0.02,11.0,0.976596,2.8,1.1,0.22,1963.64,3173.79,0.756873,0.999999,0.392301,0.999764,0.295312,15.32,139.1005,4.7511,2.8235,1.222928,0.848258,0.79812,
0.01,12.0,0.975458,0.7,2.9,1028.57,110.01,3704.97,0.783409,0.994474,0.464174,0.999751,0.794546,17.16,148.5993,4.7455,2.824,1.448657,1.011458,0.956843,
0.02,13.0,0.973082,3.2,1.2,0.0,1800.0,3155.68,0.774514,0.999998,0.436426,0.999722,0.326532,15.83,158.0776,4.734,2.8243,1.538262,1.0755,1.016407,
0.01,14.0,0.97346,2.6,1.6,0.52,1350.0,3451.63,0.789738,0.999997,0.474485,0.999727,0.351452,16.58,167.5569,4.7358,2.8245,1.631402,1.14218,1.078596,
0.02,15.0,0.969286,0.6,3.4,1200.0,17.52,3437.23,0.745507,0.852623,0.511312,0.999667,0.996746,17.12,177.0099,4.7155,2.8251,1.873957,1.317964,1.249988,
0.02,16.0,0.966782,0.6,3.0,1200.0,42.37,3415.59,0.736123,0.829985,0.51051,0.999625,1.006734,17.19,186.4301,4.7033,2.8257,2.100786,1.482416,1.410067,
0.1,17.0,0.95407,2.3,0.6,1.71,3600.0,2336.83,0.689738,0.999998,0.22469,0.999316,0.338992,13.37,195.7272,4.6415,2.8259,2.176013,1.536292,1.459717,
