Terminal Current [C],Cycle,SOH(measured),Stage1 [C],Stage2 [C],S1 [s],S2 [s],S3 [s],Total,r_soh,r_time,r_soh_val,delta_soh,Avg Temp [°C],Throughput [Ah],Discharge Cap [Ah],Terminal V [V],LLI [%],LAM_neg [%],LAM_pos [%],c
0.05,1.0,0.992525,0.7,0.4,1028.57,5400.0,1532.87,0.596858,0.9922,0.0,0.999889,0.023683,26.2,43.577,4.8285,2.7683,0.023683,0.002273,0.0,
0.02,2.0,0.99454,1.2,2.6,600.0,515.49,2279.46,0.597407,0.990969,0.0026,0.999899,0.028452,32.86,53.2582,4.8383,2.7685,0.052135,0.004561,0.0,
0.01,3.0,0.995326,2.2,1.8,24.5,1200.0,2536.52,0.596624,0.991543,6.7e-05,0.999903,0.026315,31.54,62.9486,4.8422,2.7686,0.07845,0.006855,0.0,
0.05,4.0,0.990776,0.3,3.8,2400.0,59.09,2263.67,0.587443,0.968667,0.0,0.999879,0.069315,30.21,72.5904,4.82,2.7688,0.133577,0.021635,0.012516,
0.05,5.0,0.990311,1.5,0.8,388.25,2700.0,1686.9,0.587129,0.967883,0.0,0.999877,0.070138,28.52,82.2318,4.8178,2.7689,0.177915,0.045322,0.033948,
0.05,6.0,0.989419,3.0,3.4,1.28,522.21,2014.16,0.932102,0.897964,0.932356,0.999872,0.109845,37.53,91.8649,4.8134,2.769,0.242216,0.082482,0.068854,
0.02,7.0,0.991603,2.8,2.3,2.7,939.13,2248.13,0.582382,0.936165,0.019848,0.999884,0.093371,33.48,101.5186,4.8241,2.7692,0.295879,0.11254,0.096645,
0.1,8.0,0.983489,0.7,3.1,1028.57,354.08,1819.17,0.550005,0.857429,0.017667,0.99983,0.122126,32.99,111.0945,4.7846,2.7694,0.362039,0.15115,0.13304,
0.1,9.0,0.982741,0.3,3.0,2400.0,375.89,1810.59,0.539191,0.848065,0.0,0.999824,0.124532,30.1,120.6629,4.7809,2.7695,0.426975,0.189068,0.16875,
0.1,10.0,0.982115,1.7,1.1,241.23,1963.64,1576.06,0.581808,0.954556,5.5e-05,0.999818,0.081782,30.03,130.2249,4.7779,2.7697,0.470235,0.212507,0.189986,
0.05,11.0,0.986408,1.2,0.8,600.0,2700.0,1535.52,0.582147,0.955443,0.0,0.999852,0.081116,28.32,139.8258,4.7988,2.7698,0.51241,0.235191,0.210436,
0.01,12.0,0.989546,1.4,2.5,453.64,579.71,2543.81,0.557426,0.893206,0.000421,0.999872,0.111486,32.6,149.4591,4.8141,2.7699,0.567183,0.266282,0.239269,
0.02,13.0,0.98795,1.1,1.5,654.55,1225.47,2095.19,0.573193,0.933044,8e-06,0.999862,0.095019,30.37,159.0751,4.8063,2.7701,0.613552,0.291803,0.262543,
0.1,14.0,0.979898,3.7,1.9,0.07,1136.84,1750.22,0.688144,0.92548,0.29498,0.999798,0.098734,33.16,168.6167,4.7671,2.7702,0.660397,0.31784,0.286387,
0.1,15.0,0.979345,1.7,1.9,234.36,1035.02,1653.81,0.659101,0.922,0.225856,0.999793,0.100328,33.29,178.1493,4.7644,2.7703,0.706909,0.343756,0.310112,
0.01,16.0,0.987371,0.5,2.0,1440.0,787.88,2484.97,0.556406,0.891085,0.0,0.999858,0.112198,29.63,187.7608,4.8035,2.7705,0.757375,0.372222,0.336334,1413.0
0.02,17.0,0.985637,1.2,2.3,600.0,623.56,2256.65,0.552178,0.879412,0.00111,0.999846,0.115907,32.32,197.3557,4.795,2.7706,0.808219,0.40098,0.362859,
0.01,18.0,0.986212,0.4,1.9,1800.0,853.76,2465.39,0.554756,0.886964,0.0,0.99985,0.113545,29.03,206.9556,4.7978,2.7707,0.857125,0.428469,0.388109,
0.01,19.0,0.985643,1.7,1.8,229.96,1118.52,2440.55,0.557204,0.893036,5.1e-05,0.999846,0.111544,31.58,216.55,4.7951,2.7709,0.904341,0.454861,0.412266,1413.0
0.05,20.0,0.980867,3.0,3.9,1.12,384.0,2062.35,0.791657,0.507842,0.971397,0.999807,0.178988,38.54,226.0997,4.7718,2.7711,0.974987,0.497175,0.452376,
0.05,21.0,0.98017,3.3,3.5,0.38,482.56,2031.37,0.846955,0.671814,0.945672,0.999801,0.15689,37.6,235.6426,4.7684,2.7712,1.035854,0.533018,0.486017,
0.05,22.0,0.979691,1.1,1.6,654.55,1105.11,1820.99,0.559018,0.897239,0.000407,0.999796,0.110099,30.98,245.1786,4.7661,2.7713,1.079256,0.557147,0.50795,
0.05,23.0,0.979148,3.2,2.0,0.53,1080.0,1963.38,0.580288,0.870584,0.08024,0.999791,0.118512,33.16,254.7117,4.7635,2.7715,1.12482,0.582781,0.531389,
0.05,24.0,0.978722,1.7,1.0,223.73,2160.0,1812.06,0.566021,0.915159,1e-06,0.999787,0.10328,29.4,264.2417,4.7614,2.7716,1.164591,0.604548,0.550966,
0.01,25.0,0.982104,2.5,1.5,6.81,1440.0,2568.92,0.547571,0.869014,5e-06,0.999818,0.118959,30.61,273.8066,4.7778,2.7717,1.209028,0.629415,0.573617,
0.05,26.0,0.977862,0.9,0.7,800.0,3085.71,1500.86,0.569025,0.922674,0.0,0.999778,0.100024,27.57,283.324,4.7572,2.7718,1.246643,0.649775,0.591792,
0.05,27.0,0.977338,0.7,0.9,1028.57,2334.91,1567.09,0.565744,0.914473,0.0,0.999772,0.103564,27.99,292.8367,4.7547,2.7719,1.2849,0.670632,0.610466,
0.01,28.0,0.98089,1.1,0.7,654.55,3085.71,2078.89,0.561858,0.90474,0.0,0.999808,0.107386,27.61,302.384,4.7719,2.772,1.32396,0.691981,0.629606,1413.0
0.02,29.0,0.979106,1.9,1.7,101.65,1270.59,2191.63,0.542243,0.85523,0.000481,0.999791,0.122702,31.7,311.9156,4.7633,2.7722,1.367226,0.716228,0.651655,
0.1,30.0,0.971459,3.8,0.4,0.01,5400.0,1789.01,0.561244,0.903261,0.0,0.9997,0.107936,26.43,321.3854,4.7261,2.7723,1.405269,0.737113,0.670406,
0.01,31.0,0.979061,3.0,3.2,1.02,558.73,2589.97,0.445743,0.585071,0.029391,0.99979,0.168915,35.16,330.9177,4.763,2.7724,1.461178,0.769997,0.701093,
0.02,32.0,0.977089,3.7,4.0,0.05,348.24,2381.94,0.536446,0.173555,0.667676,0.99977,0.230343,37.48,340.4311,4.7535,2.7726,1.533887,0.814269,0.743186,1413.0
