Terminal Current [C],Cycle,SOH(measured),Stage1 [C],Stage2 [C],S1 [s],S2 [s],S3 [s],Total,r_soh,r_time,r_soh_val,delta_soh,Avg Temp [°C],Throughput [Ah],Discharge Cap [Ah],Terminal V [V],LLI [%],LAM_neg [%],LAM_pos [%]
0.1,1.0,0.978631,3.8,0.2,0.09,10800.0,2351.42,0.599936,0.999947,0.0,0.999786,0.030935,11.67,43.4983,4.761,2.8204,0.030935,0.004448,0.0
0.02,2.0,0.986536,0.1,3.4,7200.0,22.34,3454.06,0.279015,0.197612,0.0,0.999853,0.566728,12.77,53.1189,4.7994,2.8212,0.329086,0.211149,0.202076
0.05,3.0,0.980968,3.4,2.2,0.0,938.37,2619.82,0.920475,0.996235,0.805048,0.999808,0.234363,20.22,62.6715,4.7723,2.8214,0.437328,0.288228,0.274606
0.05,4.0,0.979963,3.0,1.2,0.07,1800.0,2716.5,0.598881,0.997019,0.000284,0.999799,0.223218,16.16,72.2178,4.7674,2.8217,0.534606,0.357417,0.339265
0.01,5.0,0.98411,2.0,2.9,6.77,621.39,3432.64,0.59982,0.973242,0.026391,0.999835,0.328867,19.81,81.8027,4.7876,2.822,0.66747,0.452534,0.429778
0.05,6.0,0.977816,0.6,0.5,1200.0,4320.0,2037.27,0.59918,0.998062,0.0,0.999778,0.202662,12.29,91.3225,4.757,2.8222,0.74638,0.508472,0.48122
0.02,7.0,0.978583,1.2,3.7,369.51,22.53,3406.66,0.308876,0.000797,0.271499,0.999785,0.839696,20.06,100.871,4.7607,2.8229,1.033978,0.716388,0.684615
0.01,8.0,0.978882,3.3,2.4,0.0,820.9,3428.46,0.589108,0.968781,0.004096,0.999789,0.336429,18.89,110.4039,4.7622,2.8232,1.141603,0.793374,0.757047
0.02,9.0,0.976429,2.0,1.7,6.4,1270.59,3085.55,0.593026,0.981359,0.001324,0.999762,0.311257,17.39,119.912,4.7502,2.8235,1.237385,0.861791,0.820946
0.1,10.0,0.963018,0.3,1.9,2400.0,734.42,2232.21,0.583952,0.960105,0.0,0.999552,0.348534,15.15,129.2892,4.685,2.8237,1.33994,0.935271,0.890087
0.02,11.0,0.974414,0.4,0.9,1800.0,2130.42,2798.15,0.594657,0.986772,0.0,0.999739,0.29466,13.2,138.775,4.7404,2.8239,1.424341,0.995502,0.945828
0.1,12.0,0.961036,2.3,1.2,1.85,1800.0,2302.57,0.599615,0.982061,0.017222,0.999508,0.309396,16.65,148.1358,4.6754,2.8242,1.509968,1.056702,1.002713
0.05,13.0,0.967628,3.5,2.9,0.0,614.08,2605.54,0.893489,0.742035,0.991868,0.99964,0.449687,22.21,157.5594,4.7074,2.8245,1.628445,1.141935,1.083526
0.05,14.0,0.966882,2.6,0.7,0.51,3085.71,2719.56,0.591449,0.97881,0.0,0.999627,0.317486,13.78,166.9809,4.7038,2.8247,1.710353,1.200496,1.137699
0.01,15.0,0.971441,1.4,2.2,111.25,844.48,3426.18,0.558618,0.895605,0.001091,0.999699,0.397652,18.13,176.4403,4.726,2.8249,1.809118,1.27137,1.204098
0.1,16.0,0.95373,2.4,3.7,1.16,54.7,2558.16,0.599853,0.0,0.999981,0.999305,1.685769,24.98,185.7353,4.6398,2.8259,2.184936,1.544756,1.473312
0.05,17.0,0.961291,1.0,0.3,607.43,7200.0,2098.36,0.592855,0.982381,0.0,0.999514,0.308524,11.62,195.0964,4.6766,2.8261,2.252191,1.592802,1.51703
0.01,18.0,0.965011,3.2,3.1,0.0,543.55,3413.7,0.250389,0.055243,0.070933,0.999592,0.635199,20.66,204.4957,4.6947,2.8264,2.38323,1.68747,1.607291
0.02,19.0,0.961103,1.5,3.4,40.59,435.26,3065.58,0.531907,2e-06,0.83001,0.99951,1.128617,21.73,213.8614,4.6757,2.827,2.602251,1.846573,1.762073
0.05,20.0,0.952985,3.4,4.0,0.0,22.47,2951.25,0.599576,0.0,0.999299,0.99928,1.932507,23.68,223.1527,4.6362,2.8278,2.947817,2.098476,2.009812
0.05,21.0,0.949391,3.6,3.8,0.0,27.84,2944.53,0.599553,0.0,0.999309,0.999147,1.985237,23.67,232.4052,4.6187,2.8286,3.274645,2.336916,2.244112
0.1,22.0,0.940602,3.0,1.3,0.01,1661.54,2241.53,0.545686,0.748852,0.116009,0.998708,0.447976,17.22,241.5646,4.5759,2.8288,3.347691,2.38959,2.292645
0.05,23.0,0.947624,0.7,2.2,1028.57,539.54,2631.95,0.260624,0.145336,0.006688,0.999073,0.584365,17.57,250.7918,4.6101,2.8291,3.440375,2.456704,2.35552
0.02,24.0,0.951055,3.9,2.0,0.0,1014.17,3054.88,0.372246,0.406658,0.024352,0.999212,0.51799,18.72,260.0513,4.6268,2.8293,3.521503,2.515352,2.409874
0.02,25.0,0.950066,2.8,2.4,0.15,783.11,3055.62,0.362955,0.208187,0.199614,0.999174,0.563614,19.74,269.3019,4.622,2.8295,3.60798,2.577957,2.468195
0.02,26.0,0.949238,0.2,1.5,3600.0,1000.64,2997.0,0.352974,0.382865,0.0,0.999141,0.522734,13.28,278.5433,4.618,2.8298,3.687112,2.635187,2.521167
0.01,27.0,0.949886,0.2,1.2,3600.0,1382.82,3276.22,0.394658,0.487061,0.0,0.999167,0.502465,12.78,287.7907,4.6211,2.83,3.762193,2.689451,2.571163
0.02,28.0,0.947538,2.6,1.5,0.39,1440.0,3054.8,0.378389,0.446086,0.000352,0.999069,0.510309,16.89,297.0163,4.6097,2.8302,3.837287,2.74376,2.621219
0.1,29.0,0.934637,0.2,1.3,3600.0,1229.85,2105.62,0.417095,0.543592,0.0,0.998288,0.491676,13.27,306.1148,4.5469,2.8304,3.908598,2.79539,2.668778
0.01,30.0,0.94717,3.9,2.5,0.0,732.45,3407.87,0.235425,0.076945,0.012091,0.999053,0.618314,19.27,315.3377,4.6079,2.8306,3.996269,2.859026,2.728155
0.02,31.0,0.944848,1.4,2.1,63.1,895.48,3055.66,0.294812,0.196168,0.041391,0.998943,0.567163,18.74,324.537,4.5966,2.8308,4.075713,2.916646,2.781544
0.1,32.0,0.93265,4.0,0.3,0.0,7200.0,2283.86,0.513578,0.784885,0.0,0.998119,0.438363,11.45,333.6272,4.5373,2.831,4.13693,2.960939,2.821815
0.02,33.0,0.943815,2.5,0.2,0.57,10800.0,3065.99,0.47593,0.69038,0.0,0.99889,0.461814,10.83,342.8281,4.5916,2.8312,4.200688,3.007062,2.863759
0.1,34.0,0.931141,2.0,0.4,4.77,5400.0,2288.78,0.500848,0.753131,0.0,0.997981,0.446887,12.07,351.9027,4.5299,2.8313,4.261707,3.051202,2.903884
0.01,35.0,0.942012,3.5,3.4,0.0,428.35,3409.45,0.280292,0.0,0.201335,0.998791,1.484643,21.33,361.0804,4.5828,2.8318,4.452682,3.190861,3.039432
0.01,36.0,0.941954,0.1,0.2,7200.0,10800.0,2476.15,0.480949,0.702979,0.0,0.998788,0.458975,10.31,370.2519,4.5825,2.832,4.512709,3.234316,3.078705
0.01,37.0,0.939854,0.2,2.6,3600.0,345.84,3494.53,0.199733,1e-06,0.0,0.998662,1.165553,14.06,379.4062,4.5723,2.8324,4.657486,3.340072,3.180349
0.01,38.0,0.938402,0.5,2.6,1440.0,351.18,3494.54,0.199716,7e-06,0.0,0.998567,1.068378,16.15,388.5453,4.5652,2.8327,4.787366,3.434979,3.271139
0.1,39.0,0.924114,0.5,1.1,1440.0,1519.32,2052.96,0.35559,0.390379,2e-06,0.997187,0.521225,14.73,397.5408,4.4957,2.8329,4.851227,3.481426,3.313603
0.01,40.0,0.936696,2.0,2.6,4.47,674.12,3403.64,0.212625,0.01093,0.02141,0.998447,0.714536,19.44,406.6619,4.5569,2.8332,4.936735,3.543811,3.371831
