Terminal Current [C],Cycle,SOH(measured),Stage1 [C],Stage2 [C],S1 [s],S2 [s],S3 [s],Total,r_soh,r_time,r_soh_val,delta_soh,Avg Temp [°C],Throughput [Ah],Discharge Cap [Ah],Terminal V [V],LLI [%],LAM_neg [%],LAM_pos [%]
0.1,1.0,0.97759,3.2,1.0,0.82,2160.0,2357.62,0.600045,0.999945,0.000279,0.999775,0.032947,17.41,43.48,4.7559,2.8204,0.032947,0.004466,0.0
0.02,2.0,0.988709,1.6,2.3,33.0,863.58,3083.25,0.622658,0.9993,0.057412,0.999867,0.154133,19.15,53.1067,4.81,2.8207,0.12588,0.063464,0.054358
0.1,3.0,0.976004,0.3,0.7,2400.0,2980.97,1815.73,0.599641,0.999224,0.0,0.999758,0.159038,12.43,62.6081,4.7482,2.8209,0.211867,0.124327,0.110781
0.01,4.0,0.986507,1.1,3.2,515.91,324.48,3499.6,0.371858,0.428061,0.001659,0.999853,0.513798,18.88,72.2225,4.7993,2.8215,0.453145,0.298094,0.279925
0.02,5.0,0.984045,0.1,1.5,7200.0,1084.07,3007.05,0.598203,0.995591,0.0,0.999834,0.241914,12.14,81.8039,4.7873,2.8218,0.557402,0.372328,0.349575
0.05,6.0,0.978832,0.7,0.7,1028.57,2948.51,2205.14,0.599129,0.997927,0.0,0.999788,0.205864,13.39,91.3331,4.7619,2.822,0.642215,0.432494,0.405233
0.1,7.0,0.969636,3.7,1.8,0.0,1200.0,2244.68,0.968865,0.99454,0.927786,0.999673,0.252147,19.53,100.7749,4.7172,2.8222,0.740397,0.502506,0.470838
0.05,8.0,0.976578,1.9,1.2,9.58,1800.0,2700.67,0.597794,0.994299,0.000303,0.999764,0.254217,16.16,110.2874,4.751,2.8225,0.834857,0.569826,0.533667
0.1,9.0,0.96815,3.8,0.5,0.0,4320.0,2363.82,0.598348,0.996045,0.0,0.999649,0.236718,12.79,119.7238,4.71,2.8227,0.91937,0.629978,0.589468
0.05,10.0,0.973852,3.8,3.1,0.0,559.6,2607.87,0.919059,0.802625,0.995157,0.999732,0.433201,22.86,129.2107,4.7377,2.8231,1.063362,0.733479,0.688496
0.01,11.0,0.978576,2.9,2.1,0.13,988.14,3427.36,0.590539,0.975676,0.000779,0.999785,0.324205,17.99,138.7396,4.7607,2.8233,1.166515,0.80727,0.757746
0.05,12.0,0.971768,0.8,1.7,900.0,883.91,2596.83,0.591837,0.978635,0.001104,0.999704,0.317885,16.8,148.2013,4.7276,2.8236,1.263643,0.876726,0.822755
0.02,13.0,0.975098,2.1,1.2,4.32,1800.0,3155.67,0.592629,0.981695,3e-06,0.999747,0.310377,15.7,157.6995,4.7438,2.8238,1.355199,0.942145,0.883682
0.1,14.0,0.96178,1.8,1.0,12.98,2160.0,2314.91,0.594439,0.985957,0.000378,0.999525,0.297547,15.67,167.0684,4.679,2.824,1.44013,1.002828,0.940057
0.05,15.0,0.965024,3.5,4.0,0.0,25.01,2961.18,0.599601,0.0,0.999206,0.999593,1.659021,23.76,176.4825,4.6948,2.8251,1.856271,1.305282,1.238237
0.01,16.0,0.968944,2.8,3.3,0.2,487.8,3423.77,0.245413,0.006316,0.107387,0.999662,0.740876,20.61,185.9221,4.7138,2.8255,2.026654,1.428495,1.357021
0.02,17.0,0.96679,2.3,0.7,1.73,3085.71,3170.75,0.581606,0.954202,0.0,0.999625,0.355398,13.56,195.3422,4.7033,2.8257,2.107201,1.486182,1.4103
0.05,18.0,0.961791,3.5,0.4,0.0,5400.0,2700.03,0.587124,0.968048,0.0,0.999525,0.33757,12.07,204.7172,4.679,2.8259,2.182137,1.539831,1.459622
0.1,19.0,0.950953,4.0,3.5,0.0,427.6,2234.86,0.599829,0.0,0.999969,0.999208,1.217615,25.4,213.9841,4.6263,2.8265,2.430858,1.720607,1.636212
0.05,20.0,0.955013,2.8,3.6,0.18,82.05,2900.82,0.599562,0.0,0.999231,0.999346,1.769403,23.38,223.2832,4.6461,2.8274,2.762843,1.962439,1.873857
0.1,21.0,0.946214,1.3,1.9,187.6,972.08,2209.7,0.892929,0.768178,0.964641,0.999009,0.44295,19.76,232.4956,4.6032,2.8276,2.844184,2.021056,1.928274
0.01,22.0,0.959444,2.3,0.3,1.57,7200.0,3475.2,0.557691,0.894493,0.0,0.99947,0.398215,11.36,241.848,4.6676,2.8278,2.916461,2.073034,1.97591
0.02,23.0,0.956841,0.3,1.5,2400.0,1019.58,3007.25,0.461404,0.65381,0.0,0.9994,0.469723,13.97,251.1637,4.6549,2.828,2.999613,2.132932,2.031484
0.01,24.0,0.957641,2.3,0.4,1.54,5400.0,3493.56,0.545255,0.863426,0.0,0.999423,0.412189,11.88,260.4974,4.6588,2.8282,3.071714,2.184808,2.079034
0.02,25.0,0.954721,2.2,2.9,2.36,593.26,3051.67,0.473832,0.056102,0.628808,0.999337,0.634421,20.75,269.7955,4.6446,2.8285,3.178597,2.262189,2.152104
0.01,26.0,0.955552,2.8,0.6,0.16,3600.0,3509.56,0.516842,0.792423,0.0,0.999363,0.43621,12.9,279.1064,4.6487,2.8287,3.251721,2.31488,2.200487
0.02,27.0,0.950255,2.0,3.9,5.24,21.54,3406.55,0.573849,0.0,0.935031,0.999181,2.119313,21.74,288.3675,4.6229,2.8295,3.578429,2.55349,2.434998
0.01,28.0,0.950776,0.6,2.2,1200.0,533.64,3454.72,0.221463,0.054056,0.0,0.999201,0.636294,16.13,297.6255,4.6254,2.8298,3.674613,2.623203,2.500436
0.01,29.0,0.950362,3.0,0.2,0.0,10800.0,3430.44,0.503333,0.758739,0.0,0.999186,0.445439,10.82,306.8902,4.6234,2.83,3.741862,2.67175,2.544731
0.1,30.0,0.936079,0.2,0.7,3600.0,2785.29,1815.1,0.537929,0.845623,0.0,0.998401,0.419016,12.03,316.0019,4.5539,2.8301,3.804423,2.716881,2.585788
0.02,31.0,0.946551,4.0,3.0,0.0,554.85,3044.53,0.494358,0.004087,0.732295,0.999025,0.761703,21.47,325.2209,4.6049,2.8304,3.91372,2.796369,2.661044
0.1,32.0,0.933033,3.8,3.2,0.0,490.58,2214.53,0.599656,0.000112,0.999952,0.998153,0.933147,24.84,334.3079,4.5391,2.8308,4.043653,2.891138,2.751743
0.02,33.0,0.944119,1.9,2.7,7.09,645.5,3050.01,0.409008,0.029549,0.493517,0.998906,0.666272,20.38,343.5012,4.5931,2.831,4.135553,2.957957,2.814343
0.02,34.0,0.943357,0.2,1.4,3600.0,1095.07,2972.51,0.312138,0.280912,0.0,0.998866,0.544759,13.17,352.6849,4.5893,2.8312,4.210171,3.012081,2.864273
