Terminal Current [C],Cycle,SOH(measured),Stage1 [C],Stage2 [C],S1 [s],S2 [s],S3 [s],Total,r_soh,r_time,r_soh_val,delta_soh,Avg Temp [°C],Throughput [Ah],Discharge Cap [Ah],Terminal V [V],LLI [%],LAM_neg [%],LAM_pos [%],c
0.02,1.0,1.002383,0.9,0.4,800.0,5400.0,1433.98,0.574484,0.936245,0.0,0.99993,0.027383,39.74,43.7224,4.8765,2.6823,0.027383,0.001343,0.0,
0.1,2.0,0.996106,2.2,2.5,221.07,741.74,1342.5,0.864462,0.940713,0.720489,0.999906,0.025291,48.48,53.4176,4.846,2.6824,0.052674,0.002656,0.0,
0.05,3.0,0.998979,1.1,3.7,654.55,302.7,1645.99,0.621712,0.938485,0.115836,0.999918,0.026352,47.94,63.143,4.8599,2.6825,0.079025,0.003979,0.0,
0.1,4.0,0.995885,2.3,0.2,183.21,10800.0,1238.02,0.574419,0.936096,0.0,0.999905,0.02745,40.55,72.848,4.8449,2.6825,0.106476,0.005292,0.0,
0.02,5.0,1.000369,0.3,2.4,2400.0,685.39,1745.03,0.479038,0.697633,0.0,0.999923,0.077404,43.15,82.5861,4.8667,2.6826,0.156106,0.030644,0.024023,
0.05,6.0,0.997388,3.8,4.0,1.3,445.44,1637.38,0.83187,0.620467,0.959252,0.999912,0.086715,52.1,92.2984,4.8522,2.6827,0.208684,0.059159,0.051222,
0.02,7.0,0.999223,2.6,1.2,89.41,1800.0,1756.99,0.450206,0.625551,4e-06,0.999919,0.08613,43.86,102.0321,4.8611,2.6828,0.259513,0.086445,0.077182,1413.0
0.05,8.0,0.996688,1.7,0.4,423.53,5400.0,1203.1,0.425206,0.563061,0.0,0.999909,0.093146,41.21,111.7399,4.8488,2.6829,0.312496,0.115247,0.104667,
0.01,9.0,0.999217,2.6,0.5,88.55,4320.0,2009.48,0.418783,0.546998,0.0,0.999919,0.094904,41.44,121.4783,4.8611,2.6831,0.364895,0.1437,0.131791,
0.02,10.0,0.997563,3.0,0.4,14.57,5400.0,1815.02,0.417328,0.543365,0.0,0.999913,0.0953,40.99,131.2046,4.8531,2.6832,0.416083,0.171409,0.158178,1413.0
0.02,11.0,0.9967,3.1,2.8,10.53,771.43,1791.37,0.472613,0.531411,0.150167,0.999909,0.0966,48.53,140.9079,4.8489,2.6833,0.466543,0.198745,0.184197,
0.05,12.0,0.994291,1.5,0.4,480.0,5400.0,1196.43,0.393756,0.484441,0.0,0.999898,0.101683,41.11,150.5921,4.8371,2.6834,0.518072,0.226838,0.210982,
0.05,13.0,0.993449,2.3,0.8,176.74,2700.0,1418.82,0.414662,0.536709,0.0,0.999894,0.096024,42.68,160.269,4.833,2.6835,0.56589,0.252485,0.235325,
0.02,14.0,0.994928,0.8,3.5,900.0,332.71,1883.09,0.368683,0.420979,0.000778,0.999901,0.108615,46.42,169.9575,4.8402,2.6836,0.617945,0.281182,0.262711,
0.05,15.0,0.992266,2.7,0.8,53.44,2700.0,1537.97,0.4003,0.500805,0.0,0.999888,0.099913,42.47,179.6276,4.8273,2.6837,0.665242,0.306618,0.286846,
0.01,16.0,0.994875,3.4,4.0,4.14,436.84,2172.84,0.393426,0.37818,0.105433,0.999901,0.11344,50.36,189.3162,4.84,2.6838,0.716999,0.335208,0.314124,1413.0
0.05,17.0,0.990985,1.4,1.8,514.29,1050.99,1380.59,0.389758,0.470213,0.004241,0.999881,0.103224,45.24,198.9632,4.8211,2.6839,0.763606,0.360306,0.337926,
0.1,18.0,0.987149,3.1,3.8,10.03,472.67,1469.83,0.762564,0.417748,0.988735,0.999857,0.108974,52.25,208.5767,4.8024,2.6839,0.811425,0.386431,0.362766,
0.05,19.0,0.989856,0.9,2.8,800.0,511.28,1560.89,0.361625,0.395305,0.008821,0.999874,0.111488,46.18,218.2134,4.8156,2.684,0.8593,0.412597,0.387638,
0.01,20.0,0.992948,2.8,0.1,28.92,21600.0,2027.71,0.272709,0.181828,0.0,0.999891,0.140649,40.19,227.8962,4.8306,2.6842,0.917085,0.445447,0.419178,
0.02,21.0,0.99133,2.0,0.3,288.18,7200.0,1536.2,0.310671,0.276737,0.0,0.999883,0.125965,40.91,237.5541,4.8227,2.6843,0.968295,0.473821,0.446252,
0.05,22.0,0.988024,4.0,3.3,0.64,599.41,1594.0,0.696214,0.353703,0.886902,0.999863,0.116292,50.56,247.1751,4.8066,2.6844,1.014984,0.499313,0.470455,
0.05,23.0,0.987483,0.3,3.4,2400.0,346.48,1627.84,0.318711,0.296848,0.0,0.999859,0.123307,43.94,256.7894,4.804,2.6845,1.06322,0.525986,0.495841,
0.05,24.0,0.986935,1.2,2.9,600.0,476.23,1572.74,0.357934,0.318323,0.076584,0.999855,0.120581,47.05,266.398,4.8014,2.6845,1.109699,0.551472,0.520042,
0.05,25.0,0.986677,0.7,0.7,1028.57,3085.71,1186.53,0.336652,0.341704,0.0,0.999854,0.117722,41.36,276.0041,4.8001,2.6846,1.154515,0.575775,0.543063,
0.02,26.0,0.988145,1.1,3.0,654.55,444.71,1835.82,0.307956,0.265237,0.004722,0.999864,0.127539,46.66,285.6241,4.8072,2.6847,1.201781,0.601865,0.567863,
0.1,27.0,0.982056,1.7,3.0,423.53,447.02,1420.86,0.619712,0.301747,0.747624,0.999818,0.122675,48.62,295.1844,4.7776,2.6848,1.246637,0.626436,0.591163,
0.05,28.0,0.984819,4.0,2.4,0.61,900.0,1554.6,0.465186,0.297666,0.365379,0.99984,0.123201,47.85,304.7749,4.7911,2.6849,1.291011,0.650671,0.61412,
0.01,29.0,0.987977,2.7,0.2,44.21,10800.0,2012.23,0.269524,0.173879,0.0,0.999862,0.142118,40.43,314.4069,4.8064,2.685,1.340653,0.678448,0.640604,
0.01,30.0,0.987252,1.7,0.8,423.53,2700.0,1692.07,0.298548,0.246442,0.0,0.999858,0.130208,42.43,324.0177,4.8029,2.6851,1.385881,0.703211,0.664079,
0.02,31.0,0.985891,1.9,0.1,325.16,21600.0,1474.98,0.208991,0.022553,0.0,0.999848,0.201867,40.28,333.6242,4.7963,2.6852,1.451732,0.742132,0.70172,1413.0
0.02,32.0,0.985155,1.8,0.1,369.72,21600.0,1431.41,0.206863,0.017235,0.0,0.999843,0.209282,40.27,343.2228,4.7927,2.6854,1.518252,0.781564,0.739874,
0.02,33.0,0.98401,3.3,1.6,4.98,1350.0,1817.76,0.290741,0.226495,0.00044,0.999834,0.133195,44.96,352.8076,4.7871,2.6854,1.561695,0.805331,0.762363,
0.1,34.0,0.978159,3.8,0.5,1.06,4320.0,1413.82,0.29681,0.242135,0.0,0.999781,0.130838,41.22,362.3429,4.7587,2.6855,1.603815,0.828324,0.784103,
0.02,35.0,0.982952,2.9,3.0,16.85,670.68,1819.66,0.374982,0.182503,0.255039,0.999826,0.140526,49.13,371.9132,4.782,2.6856,1.648094,0.852834,0.807338,
0.02,36.0,0.982421,1.6,3.4,450.0,342.79,1873.72,0.28667,0.151702,0.065063,0.999821,0.146522,47.99,381.4794,4.7794,2.6857,1.693398,0.878108,0.831339,
0.02,37.0,0.982141,0.3,0.8,2400.0,2700.0,1414.01,0.278553,0.196473,0.0,0.999819,0.138067,41.0,391.041,4.778,2.6858,1.735901,0.901393,0.853353,
0.01,38.0,0.982568,1.9,1.9,320.03,1010.39,1931.57,0.266438,0.166004,0.00018,0.999822,0.143627,45.52,400.6052,4.7801,2.6859,1.779336,0.92538,0.876066,
0.1,39.0,0.975638,1.7,0.6,415.85,3600.0,1009.45,0.28,0.200124,0.0,0.999753,0.137446,41.92,410.1042,4.7464,2.686,1.820559,0.947936,0.897377,
0.05,40.0,0.978153,0.7,2.9,1028.57,461.57,1578.88,0.260624,0.150428,0.001241,0.999781,0.146791,45.66,419.6272,4.7586,2.6861,1.863656,0.971901,0.920082,
