Terminal Current [C],Cycle,SOH(measured),Stage1 [C],Stage2 [C],S1 [s],S2 [s],S3 [s],Total,r_soh,r_time,r_soh_val,delta_soh,Avg Temp [°C],Throughput [Ah],Discharge Cap [Ah],Terminal V [V],LLI [%],LAM_neg [%],LAM_pos [%],c
0.05,1.0,0.999619,3.6,3.5,0.19,546.01,1628.24,0.936502,0.936165,0.905129,0.999921,0.027419,47.83,43.6932,4.8631,2.6823,0.027419,0.001326,0.0,
0.01,2.0,1.002801,3.0,1.4,15.49,1542.86,2104.18,0.575382,0.938486,3e-06,0.999932,0.026351,44.13,53.4623,4.8785,2.6824,0.05377,0.002668,0.0,
0.05,3.0,0.999058,0.6,1.6,1200.0,1250.97,1334.71,0.576306,0.940804,1e-06,0.999919,0.025247,43.23,63.1864,4.8603,2.6825,0.079017,0.003992,0.0,
0.05,4.0,0.998643,1.4,3.4,514.29,364.12,1616.72,0.687253,0.939551,0.278622,0.999917,0.025849,48.3,72.9082,4.8583,2.6825,0.104865,0.005314,0.0,
0.1,5.0,0.994886,0.1,2.3,7200.0,736.21,1315.59,0.51109,0.777773,0.0,0.999901,0.066142,41.44,82.5926,4.84,2.6826,0.148905,0.02586,0.019238,
0.05,6.0,0.997535,2.2,2.8,218.57,615.2,1544.52,0.6797,0.645224,0.554069,0.999912,0.083835,48.89,92.3043,4.8529,2.6827,0.20019,0.053476,0.045537,
0.1,7.0,0.993998,1.8,0.5,386.89,4320.0,1068.11,0.450215,0.62559,0.0,0.999897,0.086126,41.6,101.9853,4.8357,2.6828,0.251236,0.080957,0.071715,1413.0
0.01,8.0,0.999932,0.3,0.6,2400.0,3600.0,1717.18,0.427844,0.56965,0.0,0.999922,0.092421,40.69,111.7226,4.8646,2.6829,0.304146,0.109676,0.099102,
0.02,9.0,0.998107,2.4,1.3,146.02,1661.54,1700.32,0.43882,0.597077,1.5e-05,0.999915,0.08937,44.25,121.4433,4.8557,2.683,0.354091,0.136458,0.124562,
0.01,10.0,0.998485,1.0,3.5,720.0,336.61,2160.21,0.394443,0.485867,0.000283,0.999916,0.101528,46.53,131.1658,4.8575,2.6831,0.408479,0.16644,0.153221,
0.01,11.0,0.997922,1.5,2.1,480.0,846.04,1964.25,0.4092,0.522907,0.000136,0.999914,0.097522,45.47,140.8797,4.8548,2.6832,0.459601,0.194186,0.179644,
0.01,12.0,0.997414,1.0,1.2,720.0,1790.99,1747.02,0.407525,0.518857,0.0,0.999912,0.09796,42.83,150.5887,4.8523,2.6833,0.509689,0.221258,0.205394,
0.02,13.0,0.995943,3.2,0.2,7.69,10800.0,1808.8,0.374199,0.435544,0.0,0.999906,0.107007,40.41,160.3009,4.8452,2.6835,0.562533,0.250292,0.233112,
0.05,14.0,0.993182,0.3,0.4,2400.0,5400.0,1193.16,0.381058,0.452698,0.0,0.999892,0.105129,40.37,169.9742,4.8317,2.6836,0.613288,0.277966,0.259481,
0.05,15.0,0.992188,1.1,1.8,654.55,1052.83,1381.17,0.401808,0.503556,0.001021,0.999887,0.099616,44.75,179.6326,4.8269,2.6836,0.660564,0.303399,0.283613,
0.02,16.0,0.993941,2.1,1.6,250.35,1350.0,1593.47,0.387832,0.469276,0.000357,0.999896,0.103326,45.15,189.3082,4.8354,2.6837,0.708403,0.329243,0.30815,
0.1,17.0,0.987788,3.0,1.5,13.82,1440.0,1407.42,0.400101,0.490491,0.009831,0.999861,0.101028,45.02,198.9305,4.8055,2.6838,0.754288,0.353902,0.331523,
0.02,18.0,0.992783,2.8,2.7,29.62,792.06,1780.18,0.411713,0.412074,0.117263,0.99989,0.109605,48.31,208.5949,4.8298,2.6839,0.802658,0.38028,0.356597,1413.0
0.01,19.0,0.993276,4.0,4.0,0.65,437.99,2172.69,0.376207,0.332762,0.107807,0.999893,0.118803,50.35,218.2673,4.8322,2.684,0.85354,0.408441,0.383452,
0.05,20.0,0.989797,2.4,0.3,138.29,7200.0,1436.54,0.339758,0.349459,0.0,0.999874,0.116795,40.83,227.9137,4.8153,2.6841,0.902675,0.435393,0.409111,
0.1,21.0,0.98565,2.9,0.8,18.89,2700.0,1407.27,0.3711,0.427826,0.0,0.999846,0.107858,42.37,237.5205,4.7951,2.6842,0.947555,0.459579,0.43202,
0.01,22.0,0.99172,2.5,1.4,107.18,1542.86,2002.94,0.340355,0.350941,4e-06,0.999885,0.116619,44.29,247.1783,4.8246,2.6843,0.994848,0.485392,0.45653,
0.02,23.0,0.990138,0.6,1.1,1200.0,1963.64,1445.07,0.347838,0.369657,0.0,0.999876,0.114424,42.11,256.8151,4.8169,2.6844,1.040553,0.510139,0.479981,
