Terminal Current [C],Cycle,SOH(measured),Stage1 [C],Stage2 [C],S1 [s],S2 [s],S3 [s],Total,r_soh,r_time,r_soh_val,delta_soh,Avg Temp [°C],Throughput [Ah],Discharge Cap [Ah],Terminal V [V],LLI [%],LAM_neg [%],LAM_pos [%],c
0.02,1.0,1.001959,1.5,2.7,480.0,549.51,1801.55,0.580231,0.937364,0.013249,0.999929,0.026872,44.54,43.7143,4.8744,2.6823,0.026872,0.001336,0.0,
0.05,2.0,0.999393,1.4,2.0,514.29,919.17,1418.87,0.580364,0.940213,0.010737,0.99992,0.025532,45.76,53.4428,4.862,2.6824,0.052404,0.002661,0.0,
0.01,3.0,1.00239,3.9,3.0,0.97,710.1,2091.29,0.582314,0.938247,0.017573,0.99993,0.026463,48.36,63.2012,4.8765,2.6825,0.078867,0.004,0.0,1413.0
0.02,4.0,1.000886,3.1,4.0,11.08,439.14,1886.93,0.836339,0.938727,0.652157,0.999925,0.026238,51.32,72.9462,4.8692,2.6825,0.105106,0.005331,0.0,
0.1,5.0,0.994878,2.1,2.7,258.3,631.13,1373.63,0.82943,0.776348,0.797276,0.999901,0.066365,48.79,82.632,4.84,2.6826,0.149248,0.025975,0.019337,
0.02,6.0,0.999864,3.8,1.6,1.3,1350.0,1837.64,0.456455,0.640803,0.000375,0.999922,0.084355,44.99,92.3725,4.8643,2.6827,0.200853,0.053744,0.045778,
0.1,7.0,0.993857,0.1,0.8,7200.0,2700.0,1056.9,0.462213,0.655583,0.0,0.999896,0.082603,40.48,102.0494,4.835,2.6828,0.250057,0.079962,0.070694,
0.01,8.0,0.999718,3.4,2.9,4.38,740.61,2080.66,0.433014,0.5686,0.013973,0.999921,0.092537,48.1,111.7825,4.8635,2.6829,0.303009,0.108797,0.098201,
0.01,9.0,0.999073,0.8,3.6,900.0,316.31,2170.66,0.399477,0.498682,5.2e-05,0.999919,0.100142,46.15,121.5113,4.8604,2.683,0.358177,0.139248,0.127326,
0.02,10.0,0.997349,1.5,3.2,480.0,406.33,1847.27,0.425749,0.530059,0.034359,0.999912,0.096746,47.74,131.2222,4.852,2.6831,0.410185,0.167596,0.154355,
0.01,11.0,0.997945,3.4,1.5,4.29,1440.0,2110.75,0.410485,0.526246,1e-05,0.999914,0.09716,44.39,140.9448,4.8549,2.6832,0.461092,0.195197,0.180633,
0.05,12.0,0.994034,0.9,1.2,800.0,1791.01,1222.68,0.425996,0.56504,1e-06,0.999897,0.092929,42.93,150.6206,4.8359,2.6833,0.508846,0.220727,0.204857,
0.02,13.0,0.995748,2.7,1.1,54.93,1963.64,1788.32,0.407574,0.518982,1e-06,0.999905,0.097947,43.47,160.3222,4.8442,2.6834,0.557745,0.247096,0.229913,
0.01,14.0,0.996177,2.4,2.3,142.29,897.56,1995.62,0.387568,0.467231,0.001736,0.999907,0.103548,46.77,170.0187,4.8463,2.6835,0.607941,0.274416,0.255915,1413.0
0.1,15.0,0.98904,3.3,0.9,5.63,2400.0,1424.01,0.408872,0.522244,1e-06,0.999869,0.097594,42.72,179.6584,4.8116,2.6836,0.654468,0.299373,0.279584,
0.1,16.0,0.988402,0.6,2.1,1200.0,838.2,1281.74,0.397763,0.494373,0.000101,0.999865,0.100608,44.17,189.281,4.8085,2.6837,0.701244,0.324615,0.30354,
0.05,17.0,0.991091,0.1,4.0,7200.0,236.74,1681.01,0.343809,0.359581,0.0,0.999881,0.1156,41.98,198.9309,4.8216,2.6838,0.752992,0.353376,0.331004,
0.01,18.0,0.993868,0.9,3.3,800.0,373.94,2141.75,0.337398,0.343442,0.000105,0.999896,0.117513,46.21,208.6085,4.8351,2.6839,0.80443,0.381867,0.358186,
0.05,19.0,0.989916,3.7,3.3,1.61,600.61,1593.11,0.717079,0.407148,0.885613,0.999874,0.110156,50.56,218.2468,4.8159,2.684,0.851982,0.407769,0.382793,
0.05,20.0,0.989391,0.6,2.6,1200.0,583.01,1533.12,0.356751,0.391837,0.000105,0.999871,0.111881,44.86,227.8795,4.8133,2.6841,0.899256,0.43355,0.407283,
0.05,21.0,0.988812,1.7,3.4,423.53,353.53,1619.2,0.545495,0.354467,0.509335,0.999868,0.116202,49.01,237.5059,4.8105,2.6842,0.947196,0.459869,0.432311,
0.05,22.0,0.988296,1.9,2.1,331.29,878.97,1438.58,0.38729,0.391617,0.076676,0.999864,0.111906,46.81,247.1251,4.808,2.6843,0.992762,0.484564,0.455717,
0.01,23.0,0.991102,1.2,3.0,600.0,447.67,2108.92,0.315568,0.288461,0.000518,0.999881,0.124402,46.42,256.7743,4.8216,2.6844,1.041907,0.511752,0.481605,
0.01,24.0,0.990683,3.5,0.8,2.89,2700.0,2102.62,0.327034,0.317646,0.0,0.999879,0.120665,42.21,266.4303,4.8196,2.6845,1.088931,0.537463,0.506016,
0.02,25.0,0.988929,0.2,2.6,3600.0,578.57,1782.87,0.320054,0.300201,0.0,0.999868,0.122874,42.58,276.0571,4.8111,2.6846,1.135841,0.563208,0.530469,
0.02,26.0,0.9883,1.8,3.9,373.72,271.29,1907.61,0.368029,0.241591,0.17855,0.999865,0.130918,49.13,285.681,4.808,2.6847,1.184549,0.590303,0.556274,1413.0
0.02,27.0,0.98778,3.6,3.1,2.08,656.41,1826.12,0.430602,0.276326,0.300248,0.999861,0.126021,49.33,295.2987,4.8055,2.6848,1.230868,0.615768,0.58045,
0.02,28.0,0.987306,0.9,1.9,800.0,960.26,1655.89,0.315918,0.289827,3.9e-05,0.999858,0.124222,44.49,304.9088,4.8032,2.6849,1.2759,0.640365,0.603761,1413.0
0.01,29.0,0.988199,1.3,0.3,553.85,7200.0,1650.78,0.264478,0.161264,0.0,0.999864,0.144564,40.72,314.5335,4.8075,2.685,1.326625,0.668828,0.63093,
0.02,30.0,0.986125,3.2,3.3,6.87,588.32,1844.18,0.456337,0.23811,0.402807,0.99985,0.131434,49.76,324.1359,4.7974,2.6851,1.372391,0.694051,0.654869,
0.05,31.0,0.983361,3.1,2.0,9.2,1080.0,1553.3,0.344228,0.279371,0.081284,0.999829,0.12561,46.61,333.7121,4.784,2.6852,1.415696,0.717657,0.677201,
0.05,32.0,0.982827,2.0,3.2,280.56,444.23,1596.72,0.567247,0.231482,0.686722,0.999825,0.132431,49.36,343.2799,4.7814,2.6853,1.460371,0.742301,0.700572,
0.01,33.0,0.985993,2.8,0.1,25.3,21600.0,2023.58,0.232951,0.082453,0.0,0.999849,0.165121,40.18,352.895,4.7968,2.6854,1.513998,0.772991,0.729978,
0.05,34.0,0.981681,0.1,3.7,7200.0,279.5,1656.7,0.267228,0.168164,0.0,0.999815,0.143208,41.91,362.4533,4.7758,2.6855,1.560328,0.798888,0.754606,
0.02,35.0,0.98353,2.4,1.4,130.18,1542.86,1694.95,0.291157,0.227916,6.3e-05,0.99983,0.132976,44.52,372.0303,4.7848,2.6855,1.603206,0.822345,0.776788,
0.05,36.0,0.980676,3.0,2.3,12.09,939.13,1539.72,0.404864,0.225141,0.287117,0.999806,0.133404,47.57,381.5798,4.7709,2.6856,1.645598,0.845565,0.798742,
0.01,37.0,0.983594,3.1,1.9,8.86,1136.84,2082.64,0.271976,0.179771,0.000253,0.999831,0.141024,45.56,391.1601,4.7851,2.6857,1.689571,0.869868,0.821767,
0.05,38.0,0.979659,1.8,2.9,366.35,490.41,1568.85,0.449748,0.188141,0.436331,0.999796,0.139517,48.16,400.6979,4.766,2.6858,1.732505,0.893566,0.844202,
0.02,39.0,0.981453,1.9,2.6,319.83,616.93,1778.21,0.284632,0.170567,0.041106,0.999813,0.142746,47.51,410.2507,4.7747,2.6859,1.775777,0.917512,0.866878,
0.01,40.0,0.982375,0.1,0.1,7200.0,21600.0,1596.94,0.202905,0.007353,0.0,0.999821,0.232576,40.0,419.8211,4.7792,2.686,1.842007,0.95711,0.905207,
0.01,41.0,0.981416,0.2,1.0,3600.0,2160.0,1677.75,0.26535,0.16347,0.0,0.999812,0.144125,41.04,429.3734,4.7745,2.6861,1.884336,0.980389,0.927216,1413.0
0.05,42.0,0.977439,1.0,2.0,720.0,875.86,1426.66,0.272297,0.178881,0.001975,0.999774,0.141188,45.05,438.888,4.7552,2.6862,1.92533,1.002902,0.948473,
