Terminal Current [C],Cycle,SOH(measured),Stage1 [C],Stage2 [C],S1 [s],S2 [s],S3 [s],Total,r_soh,r_time,r_soh_val,delta_soh,Avg Temp [°C],Throughput [Ah],Discharge Cap [Ah],Terminal V [V],LLI [%],LAM_neg [%],LAM_pos [%],c
0.1,1.0,0.996552,3.5,0.8,0.28,2700.0,1429.88,0.601769,0.991103,0.013365,0.999908,0.02544,40.04,43.6746,4.8481,2.6823,0.02544,0.001314,0.0,
0.02,2.0,1.001727,0.9,1.5,800.0,1362.48,1561.17,0.772847,0.991001,0.441152,0.999928,0.025867,43.55,53.4243,4.8733,2.6824,0.051307,0.00265,0.0,
0.02,3.0,1.001314,2.0,2.4,301.02,741.82,1735.28,0.996344,0.990995,0.999901,0.999927,0.025891,47.2,63.1704,4.8713,2.6825,0.077198,0.003983,0.0,
0.01,4.0,1.002072,2.7,2.6,62.04,818.68,2041.13,0.996191,0.990931,0.999583,0.999929,0.026157,47.5,72.9246,4.875,2.6825,0.103355,0.00532,0.0,1413.0
0.05,5.0,0.998294,0.2,1.3,3600.0,1632.31,1253.31,0.591755,0.979429,0.0,0.999916,0.056922,41.42,82.6409,4.8566,2.6826,0.143159,0.021614,0.014974,1413.0
0.05,6.0,0.9977,3.2,1.1,8.08,1963.64,1587.53,0.905616,0.960711,0.803371,0.999913,0.081602,43.45,92.3645,4.8537,2.6827,0.193482,0.04851,0.040551,
0.05,7.0,0.996951,1.6,3.9,450.0,268.95,1658.1,0.980228,0.950616,0.999998,0.99991,0.090463,49.24,102.072,4.8501,2.6828,0.24697,0.077738,0.068464,
0.05,8.0,0.996426,3.5,2.2,3.24,981.82,1569.31,0.982167,0.955475,0.999989,0.999908,0.086439,47.16,111.777,4.8475,2.6829,0.296919,0.104551,0.093963,
0.1,9.0,0.992533,0.7,3.9,1028.57,261.04,1511.85,0.977322,0.943485,0.999875,0.999889,0.095738,46.91,121.44,4.8286,2.683,0.350016,0.133741,0.121853,
0.01,10.0,0.998853,1.3,0.4,553.85,5400.0,1693.12,0.573834,0.934627,0.0,0.999918,0.10148,41.0,131.1689,4.8593,2.6831,0.404583,0.163737,0.150519,1413.0
0.05,11.0,0.994506,3.5,4.0,3.17,440.8,1638.65,0.976666,0.941715,1.0,0.999899,0.09695,52.13,140.854,4.8382,2.6832,0.455475,0.191426,0.1769,
0.02,12.0,0.996348,3.5,1.2,3.14,1800.0,1839.04,0.833261,0.94256,0.640638,0.999907,0.096376,43.67,150.5628,4.8471,2.6833,0.504919,0.218116,0.202274,
0.1,13.0,0.990151,0.1,2.2,7200.0,782.43,1297.78,0.577594,0.944048,0.0,0.999876,0.095345,41.36,160.201,4.817,2.6834,0.552688,0.243826,0.226692,
0.02,14.0,0.995124,3.5,2.6,3.1,830.77,1803.44,0.973698,0.934318,0.999976,0.999902,0.101667,47.86,169.8898,4.8412,2.6835,0.602169,0.270709,0.252263,
0.05,15.0,0.992271,0.7,3.1,1028.57,424.31,1596.74,0.970853,0.928684,0.998505,0.999888,0.104939,45.97,179.55,4.8273,2.6836,0.651871,0.297858,0.278112,
0.1,16.0,0.98845,3.8,2.9,1.21,737.65,1396.08,0.973744,0.934427,1.0,0.999865,0.101601,49.67,189.1714,4.8087,2.6837,0.6991,0.323417,0.302382,
0.02,17.0,0.993461,3.8,2.0,1.2,1080.0,1822.03,0.970427,0.926466,0.999654,0.999894,0.106162,46.18,198.8461,4.8331,2.6838,0.74727,0.349577,0.327236,
0.01,18.0,0.994056,3.0,1.2,13.72,1800.0,2100.73,0.609734,0.919537,0.104849,0.999897,0.109775,43.5,208.5317,4.836,2.6839,0.795917,0.376061,0.352409,
0.02,19.0,0.992389,2.7,1.3,50.7,1661.54,1786.81,0.921772,0.922699,0.881785,0.999888,0.108163,44.13,218.1995,4.8279,2.684,0.842976,0.40152,0.376565,
0.02,20.0,0.991993,1.5,0.7,480.0,3085.71,1442.13,0.566596,0.916546,2e-06,0.999886,0.111248,42.04,227.8576,4.826,2.6841,0.890315,0.4272,0.400943,
0.02,21.0,0.991181,4.0,3.1,0.64,662.42,1824.49,0.963029,0.907637,0.999995,0.999882,0.115366,49.29,237.5072,4.822,2.6842,0.938213,0.453401,0.425845,
0.02,22.0,0.991116,2.4,0.2,137.09,10800.0,1674.08,0.545967,0.864977,0.0,0.999881,0.131213,40.53,247.1677,4.8217,2.6843,0.990913,0.482866,0.454008,
0.02,23.0,0.990157,1.8,1.2,375.68,1800.0,1483.56,0.80438,0.910503,0.600509,0.999876,0.114082,43.84,256.8049,4.817,2.6844,1.036576,0.507576,0.477423,
0.1,24.0,0.983971,3.0,2.6,13.15,830.77,1378.68,0.964233,0.910667,1.0,0.999834,0.114007,48.87,266.3838,4.7869,2.6845,1.081319,0.531867,0.500439,1413.0
0.02,25.0,0.989389,2.5,0.3,105.32,7200.0,1710.68,0.550874,0.877249,0.0,0.999871,0.127162,40.8,276.0276,4.8133,2.6846,1.129849,0.558678,0.525956,
0.02,26.0,0.988566,3.3,0.9,5.24,2400.0,1829.79,0.560361,0.896246,0.004724,0.999866,0.120141,42.63,285.6626,4.8093,2.6847,1.175223,0.583369,0.549356,
0.1,27.0,0.982338,1.3,3.7,553.85,289.71,1491.74,0.950853,0.877224,0.999999,0.99982,0.12717,48.69,295.2274,4.779,2.6848,1.221986,0.609265,0.573982,
0.1,28.0,0.981821,3.6,3.9,2.07,452.45,1478.33,0.95232,0.880892,1.0,0.999816,0.125892,52.52,304.7872,4.7765,2.6849,1.267568,0.634413,0.597861,
0.02,29.0,0.986953,2.9,1.0,17.74,2160.0,1815.77,0.573683,0.883837,0.050444,0.999856,0.124842,42.99,314.4046,4.8014,2.685,1.312241,0.658819,0.620981,
0.01,30.0,0.987497,2.3,1.3,165.7,1661.54,1940.03,0.684898,0.874416,0.337899,0.999859,0.128127,44.03,324.021,4.8041,2.6851,1.357295,0.68348,0.644353,
0.01,31.0,0.986935,2.5,1.8,101.54,1200.0,1995.71,0.939724,0.866889,0.982492,0.999855,0.130603,45.41,333.6299,4.8013,2.6851,1.402416,0.708247,0.667833,
0.05,32.0,0.983025,0.2,2.0,3600.0,885.8,1423.56,0.551268,0.878256,0.0,0.999826,0.126814,42.12,343.1988,4.7823,2.6852,1.445692,0.73186,0.690174,
