Terminal Current [C],Cycle,SOH(measured),Stage1 [C],Stage2 [C],S1 [s],S2 [s],S3 [s],Total,r_soh,r_time,r_soh_val,delta_soh,Avg Temp [°C],Throughput [Ah],Discharge Cap [Ah],Terminal V [V],LLI [%],LAM_neg [%],LAM_pos [%],c
0.1,1.0,0.996478,0.1,3.7,7200.0,294.26,1489.79,0.59632,0.990846,0.0,0.999908,0.026504,40.95,43.6612,4.8478,2.6823,0.026504,0.001315,0.0,
0.02,2.0,1.001736,1.4,1.3,514.29,1634.37,1506.08,0.840893,0.991012,0.611257,0.999928,0.025822,43.72,53.4115,4.8734,2.6824,0.052326,0.00265,0.0,1413.0
0.05,3.0,0.999323,1.6,0.6,450.0,3600.0,1218.73,0.596398,0.991035,0.0,0.99992,0.025724,41.83,63.1413,4.8616,2.6825,0.07805,0.003976,0.0,
0.02,4.0,1.001348,1.7,0.4,423.53,5400.0,1451.66,0.596299,0.990783,0.0,0.999927,0.02676,41.2,72.8933,4.8715,2.6825,0.10481,0.005314,0.0,
0.05,5.0,0.998263,2.0,1.1,299.76,1963.64,1315.27,0.898472,0.975339,0.770884,0.999915,0.063794,43.77,82.6136,4.8565,2.6826,0.147776,0.02478,0.018146,
0.1,6.0,0.994307,3.4,2.0,4.45,1080.0,1414.03,0.984621,0.96161,0.999994,0.999898,0.080711,46.78,92.2973,4.8372,2.6827,0.197411,0.051286,0.043347,
0.05,7.0,0.996995,0.3,2.6,2400.0,594.78,1529.39,0.582217,0.955324,0.000263,0.99991,0.08657,43.45,102.0032,4.8503,2.6828,0.248761,0.079023,0.069768,1413.0
0.01,8.0,0.999739,2.5,2.7,115.29,724.39,2056.35,0.979282,0.948566,0.999678,0.999921,0.09205,47.58,111.7372,4.8636,2.6829,0.301521,0.107711,0.097128,
0.05,9.0,0.996078,0.5,0.6,1440.0,3600.0,1210.21,0.580604,0.951558,0.0,0.999906,0.089714,40.92,121.4365,4.8458,2.683,0.351702,0.134665,0.122769,1413.0
0.01,10.0,0.998514,1.8,3.5,384.6,349.39,2152.5,0.974751,0.937211,0.999707,0.999916,0.099884,48.01,131.1585,4.8577,2.6831,0.405398,0.164163,0.150943,
0.01,11.0,0.99801,2.6,1.4,87.65,1542.86,2029.75,0.816331,0.942796,0.598075,0.999914,0.096214,44.29,140.8801,4.8552,2.6832,0.456024,0.191548,0.177005,
0.01,12.0,0.997413,2.6,1.5,87.12,1440.0,2027.96,0.899842,0.939772,0.809878,0.999912,0.098241,44.58,150.5943,4.8523,2.6833,0.50633,0.218781,0.202916,
0.05,13.0,0.993346,0.9,3.7,800.0,295.0,1651.83,0.971778,0.929572,0.999927,0.999893,0.104439,47.4,160.2668,4.8325,2.6834,0.558034,0.247198,0.230029,
0.02,14.0,0.995019,1.6,3.4,450.0,357.96,1866.4,0.970708,0.926854,0.999965,0.999901,0.10595,48.11,169.9534,4.8407,2.6835,0.609182,0.275254,0.256774,
0.02,15.0,0.994635,0.4,1.0,1800.0,2160.0,1457.08,0.574014,0.935085,0.0,0.9999,0.101201,41.54,179.6357,4.8388,2.6836,0.657264,0.301167,0.281376,
0.01,16.0,0.995106,0.2,1.4,3600.0,1469.53,1809.36,0.570872,0.927228,0.0,0.999902,0.105746,41.51,189.3226,4.8411,2.6837,0.706192,0.327713,0.306609,
0.1,17.0,0.988189,0.2,0.4,3600.0,5400.0,1025.95,0.568585,0.921529,0.0,0.999864,0.108766,40.27,198.9469,4.8075,2.6838,0.755235,0.354456,0.332067,
0.02,18.0,0.992883,2.4,1.2,139.64,1800.0,1700.98,0.827982,0.925776,0.644233,0.999891,0.106535,43.91,208.6176,4.8303,2.6839,0.802442,0.379979,0.356286,
0.1,19.0,0.98669,3.7,2.2,1.61,981.82,1403.82,0.971236,0.928165,0.999998,0.999854,0.105228,47.44,218.2263,4.8002,2.684,0.848156,0.40465,0.379675,
0.02,20.0,0.99171,0.2,2.8,3600.0,509.42,1810.51,0.562708,0.906828,0.0,0.999885,0.115722,42.73,227.8799,4.8246,2.6841,0.896957,0.431461,0.405185,
0.1,21.0,0.985595,3.2,1.5,7.29,1440.0,1411.54,0.969489,0.924022,0.999778,0.999846,0.107471,45.0,237.4816,4.7948,2.6842,0.941799,0.455635,0.428081,
0.01,22.0,0.991809,0.1,1.3,7200.0,1605.43,1778.03,0.562156,0.905448,0.0,0.999885,0.116323,40.91,247.1367,4.8251,2.6843,0.98911,0.481451,0.452594,
0.05,23.0,0.988235,0.6,0.4,1200.0,5400.0,1178.94,0.557741,0.89442,0.0,0.999864,0.120863,40.59,256.7613,4.8077,2.6844,1.037163,0.507804,0.477659,
0.1,24.0,0.983954,3.7,2.1,1.56,1028.57,1403.04,0.965182,0.913041,0.999997,0.999834,0.112913,47.1,266.3426,4.7868,2.6845,1.081531,0.531827,0.500408,
0.02,25.0,0.989007,3.9,2.3,0.84,939.13,1810.1,0.958302,0.895895,0.999925,0.999869,0.120281,47.03,275.9739,4.8114,2.6846,1.127711,0.557085,0.524374,
0.05,26.0,0.986306,2.0,1.1,284.99,1963.64,1308.59,0.885304,0.906772,0.806561,0.999851,0.115746,43.76,285.5765,4.7983,2.6847,1.171649,0.580823,0.546831,
0.1,27.0,0.982494,2.7,0.9,45.69,2400.0,1377.44,0.652785,0.906097,0.225955,0.999822,0.116041,42.83,295.1494,4.7797,2.6848,1.214946,0.604244,0.568984,
0.02,28.0,0.987557,0.7,1.2,1028.57,1765.07,1474.07,0.558082,0.891863,0.003412,0.99986,0.121855,42.54,304.761,4.8044,2.6849,1.259523,0.628507,0.59196,
0.1,29.0,0.981472,3.0,0.9,12.73,2400.0,1409.18,0.650938,0.899335,0.228103,0.999813,0.118894,42.72,314.3262,4.7748,2.6849,1.302424,0.651747,0.613936,
0.02,30.0,0.986556,3.4,0.9,3.79,2400.0,1829.32,0.554059,0.880405,0.004816,0.999853,0.126064,42.62,323.942,4.7995,2.685,1.346978,0.676106,0.637011,
0.01,31.0,0.986952,1.6,3.7,450.0,289.72,2173.37,0.932176,0.830894,0.999618,0.999856,0.141038,47.74,333.5529,4.8014,2.6851,1.39537,0.7032,0.662818,
0.1,32.0,0.979791,2.6,1.6,73.8,1350.0,1336.11,0.956023,0.890242,0.999917,0.999797,0.122474,45.5,343.094,4.7666,2.6852,1.437431,0.726014,0.684371,
0.05,33.0,0.982906,1.1,0.6,654.55,3600.0,1172.21,0.548255,0.870725,0.0,0.999825,0.129356,41.47,352.6638,4.7817,2.6853,1.481004,0.749841,0.706928,
0.02,34.0,0.984479,1.6,1.1,450.0,1957.29,1435.16,0.625305,0.869389,0.193955,0.999838,0.129794,43.4,362.2454,4.7894,2.6854,1.524132,0.773374,0.729184,
0.02,35.0,0.983917,3.9,1.4,0.79,1542.86,1826.64,0.929932,0.860584,0.964329,0.999833,0.132587,44.29,371.8319,4.7867,2.6855,1.567459,0.797111,0.751644,
