Terminal Current [C],Cycle,SOH(measured),Stage1 [C],Stage2 [C],S1 [s],S2 [s],S3 [s],Total,r_soh,r_time,r_soh_val,delta_soh,Avg Temp [°C],Throughput [Ah],Discharge Cap [Ah],Terminal V [V],LLI [%],LAM_neg [%],LAM_pos [%],c
0.01,1.0,1.003095,0.6,2.6,1200.0,588.22,2058.43,0.671256,0.990703,0.187472,0.999933,0.027084,42.36,43.725,4.88,2.6823,0.027084,0.001342,0.0,
0.05,2.0,0.999657,1.5,0.6,480.0,3600.0,1219.55,0.596381,0.990991,0.0,0.999921,0.025907,41.76,53.4581,4.8632,2.6824,0.052991,0.00267,0.0,
0.01,3.0,1.002803,1.6,0.1,450.0,21600.0,1669.29,0.595342,0.988389,0.0,0.999932,0.035402,40.26,63.2271,4.8785,2.6825,0.088393,0.00402,0.0,
0.01,4.0,1.001769,1.6,3.3,450.0,387.36,2135.47,0.991758,0.980125,0.999306,0.999928,0.055621,47.44,72.9811,4.8735,2.6826,0.128587,0.019026,0.013669,
0.05,5.0,0.997827,3.2,2.0,8.11,1080.0,1570.81,0.984223,0.96063,0.99997,0.999914,0.081682,46.55,82.6993,4.8543,2.6827,0.179215,0.046092,0.039417,
0.05,6.0,0.997264,1.7,1.5,423.53,1358.19,1310.65,0.982868,0.959505,0.997709,0.999911,0.082769,44.89,92.407,4.8516,2.6828,0.228998,0.072651,0.064659,
0.02,7.0,0.999027,2.1,1.1,256.59,1963.64,1601.2,0.67355,0.954979,0.228937,0.999918,0.086868,43.63,102.1344,4.8602,2.6829,0.279585,0.099774,0.090458,
0.02,8.0,0.998283,2.6,2.9,88.85,665.38,1801.86,0.979644,0.949164,0.999989,0.999916,0.091594,48.7,111.8533,4.8566,2.683,0.331137,0.127674,0.117035,
0.05,9.0,0.995464,3.2,2.2,7.89,981.82,1563.42,0.980445,0.951171,0.99999,0.999903,0.090024,47.17,121.5488,4.8428,2.6831,0.380552,0.154211,0.142261,
0.05,10.0,0.994867,0.2,3.1,3600.0,427.38,1593.91,0.576953,0.942433,0.0,0.999901,0.096462,42.97,131.2344,4.8399,2.6832,0.431719,0.182073,0.168814,
0.05,11.0,0.994203,3.4,4.0,4.28,439.66,1638.7,0.975607,0.93907,1.0,0.999898,0.098698,52.14,140.9167,4.8367,2.6833,0.482615,0.209827,0.19526,
0.02,12.0,0.996046,3.7,1.2,1.69,1800.0,1840.35,0.832571,0.940495,0.640978,0.999906,0.097765,43.67,150.6225,4.8457,2.6834,0.531949,0.236468,0.220586,
0.02,13.0,0.995474,3.4,1.2,4.22,1800.0,1837.0,0.832301,0.937936,0.642864,0.999904,0.099425,43.67,160.3226,4.8429,2.6835,0.580891,0.262886,0.245691,
0.01,14.0,0.995921,1.4,2.3,514.29,728.95,2002.39,0.966917,0.927861,0.989478,0.999906,0.105397,45.71,170.0183,4.8451,2.6836,0.631259,0.29035,0.271838,
0.1,15.0,0.988691,2.0,3.3,292.31,423.55,1444.13,0.972597,0.931559,1.0,0.999867,0.103301,49.86,179.6458,4.8099,2.6837,0.679534,0.316588,0.296787,1413.0
0.02,16.0,0.993598,2.7,3.9,52.52,423.87,1883.86,0.966495,0.916291,0.999998,0.999895,0.111371,50.99,189.3221,4.8338,2.6838,0.730067,0.344391,0.323283,
0.02,17.0,0.993108,4.0,2.2,0.66,981.82,1816.82,0.969349,0.92355,0.999877,0.999892,0.107719,46.75,198.9936,4.8314,2.6839,0.778147,0.370495,0.348082,
0.1,18.0,0.987001,0.3,1.6,2400.0,1231.29,1173.87,0.572607,0.931574,1.6e-05,0.999856,0.103292,42.26,208.6014,4.8017,2.684,0.823523,0.394876,0.371181,
0.05,19.0,0.98978,2.9,1.4,19.16,1542.86,1564.43,0.968404,0.924291,0.996781,0.999874,0.107328,44.53,218.2448,4.8152,2.6841,0.869611,0.419775,0.394786,
0.02,20.0,0.991744,2.7,0.4,49.78,5400.0,1772.79,0.563197,0.908051,0.0,0.999885,0.115183,41.03,227.9127,4.8247,2.6842,0.917799,0.44609,0.419799,1413.0
0.02,21.0,0.99108,1.4,0.9,514.29,2400.0,1446.02,0.566035,0.913792,0.001354,0.999881,0.112561,42.57,237.5617,4.8215,2.6843,0.964163,0.471183,0.443593,
0.05,22.0,0.988158,2.4,1.4,136.84,1542.86,1446.69,0.965586,0.917251,0.996783,0.999864,0.110905,44.75,247.185,4.8073,2.6843,1.009075,0.495402,0.466524,
0.02,23.0,0.989846,3.4,2.6,3.95,830.77,1798.27,0.960021,0.900139,0.999977,0.999874,0.118564,47.97,256.8212,4.8155,2.6844,1.055874,0.520984,0.490811,
0.05,24.0,0.987035,2.5,2.3,105.75,921.24,1472.75,0.96239,0.906054,0.999994,0.999856,0.11606,47.76,266.4288,4.8018,2.6845,1.100998,0.545492,0.514033,
0.01,25.0,0.98995,3.5,1.3,2.87,1661.54,2106.68,0.687444,0.889263,0.32941,0.999875,0.122843,43.77,276.0744,4.816,2.6846,1.147693,0.571068,0.538313,1413.0
0.02,26.0,0.988277,0.3,2.0,2400.0,891.5,1674.92,0.556496,0.891304,3e-06,0.999864,0.122069,42.69,285.6949,4.8079,2.6847,1.193349,0.595992,0.561946,
0.02,27.0,0.987691,2.5,2.9,103.83,640.55,1807.92,0.952279,0.880776,0.99999,0.999861,0.125933,48.78,295.3098,4.805,2.6848,1.239489,0.621333,0.585999,
0.05,28.0,0.985087,0.7,0.9,1028.57,2400.0,1185.8,0.558668,0.896642,0.000107,0.999842,0.119983,41.85,304.9001,4.7924,2.6849,1.283037,0.644912,0.608301,
0.05,29.0,0.984385,0.5,2.6,1440.0,575.02,1534.63,0.878428,0.878065,0.818086,0.999837,0.12688,44.45,314.4831,4.7889,2.685,1.328026,0.669611,0.631722,
0.1,30.0,0.98057,1.0,2.3,720.0,712.11,1321.5,0.954409,0.886197,0.999922,0.999805,0.123983,45.81,324.0274,4.7704,2.6851,1.371414,0.693302,0.654149,
0.05,31.0,0.983359,3.2,2.6,6.84,830.77,1540.64,0.950316,0.875878,0.999998,0.999829,0.127631,48.48,333.5998,4.784,2.6852,1.415313,0.717355,0.676927,1413.0
0.02,32.0,0.985413,2.7,0.4,42.67,5400.0,1773.55,0.543147,0.857945,0.0,0.999845,0.133395,41.0,343.2057,4.7939,2.6853,1.460368,0.742145,0.700436,
0.1,33.0,0.979034,2.4,2.1,131.65,1018.2,1276.88,0.952523,0.881416,0.999997,0.99979,0.125707,47.29,352.7351,4.7629,2.6853,1.502449,0.765044,0.722076,1413.0
0.1,34.0,0.978589,2.5,1.3,99.87,1661.54,1314.26,0.951789,0.881518,0.99806,0.999786,0.125671,44.49,362.2665,4.7607,2.6854,1.543955,0.787604,0.743379,
0.05,35.0,0.981374,2.9,1.8,16.96,1200.0,1548.65,0.946624,0.866741,0.999913,0.999812,0.13065,45.95,371.8251,4.7743,2.6855,1.58637,0.810796,0.765303,
0.02,36.0,0.983134,2.4,2.8,129.84,652.61,1799.76,0.936016,0.84014,0.999986,0.999827,0.138546,48.45,381.3949,4.7829,2.6856,1.630452,0.835157,0.78839,
0.01,37.0,0.983803,2.5,1.3,98.74,1661.54,2000.8,0.676815,0.840255,0.351866,0.999832,0.138514,43.96,390.977,4.7861,2.6857,1.673988,0.859118,0.811073,
0.1,38.0,0.976557,3.9,1.7,0.77,1270.59,1404.72,0.945481,0.863857,0.999964,0.999764,0.131566,45.69,400.4887,4.7509,2.6858,1.714981,0.881484,0.832187,
0.05,39.0,0.979464,0.7,1.3,1028.57,1580.01,1258.59,0.605866,0.85657,0.158198,0.999794,0.133812,42.85,410.023,4.765,2.6859,1.75612,0.903947,0.85339,
0.01,40.0,0.982322,1.3,1.6,553.85,1205.78,1866.64,0.800202,0.824205,0.67639,0.99982,0.142774,44.19,419.5853,4.7789,2.686,1.799176,0.927717,0.875888,
0.02,41.0,0.980614,0.7,3.9,1028.57,240.17,1930.8,0.896791,0.748736,0.993338,0.999805,0.15956,46.28,429.132,4.7706,2.686,1.845953,0.954216,0.90112,1413.0
0.02,42.0,0.980206,0.1,1.6,7200.0,1202.67,1588.63,0.53081,0.827125,0.0,0.999801,0.142023,41.07,438.674,4.7686,2.6861,1.887697,0.977181,0.92282,
0.1,43.0,0.974075,1.9,1.7,317.48,1177.18,1198.6,0.93883,0.84725,0.999958,0.999735,0.136548,45.9,448.1557,4.7388,2.6862,1.927493,0.99893,0.943325,
0.02,44.0,0.979354,1.6,0.9,450.0,2400.0,1409.34,0.529703,0.820652,0.003709,0.999793,0.143675,42.78,457.6885,4.7645,2.6863,1.968713,1.021605,0.964739,1413.0
0.05,45.0,0.976411,2.5,2.6,96.2,756.56,1522.9,0.925982,0.815075,0.999998,0.999762,0.145062,48.59,467.1922,4.7502,2.6864,2.009753,1.044266,0.986145,
0.02,46.0,0.978309,0.9,1.4,800.0,1428.45,1540.13,0.659031,0.812731,0.334956,0.999783,0.145635,43.4,476.7148,4.7594,2.6865,2.050524,1.06672,1.007341,
0.1,47.0,0.97215,0.7,3.7,1028.57,273.91,1501.54,0.900502,0.751528,0.999872,0.999709,0.159008,46.6,486.1805,4.7294,2.6866,2.093911,1.091205,1.030585,
0.1,48.0,0.971667,3.7,1.9,1.33,1136.84,1393.73,0.927833,0.81974,0.999992,0.999703,0.143904,46.39,495.6435,4.7271,2.6866,2.133254,1.112874,1.051016,
0.02,49.0,0.976852,1.1,1.6,654.55,1195.31,1592.47,0.889617,0.794809,0.929351,0.999767,0.149846,44.14,505.1512,4.7523,2.6867,2.173676,1.135221,1.072109,
0.1,50.0,0.970776,3.4,1.4,3.35,1542.86,1401.75,0.926559,0.817093,0.999458,0.99969,0.144564,44.58,514.6081,4.7227,2.6868,2.212384,1.156489,1.092142,1413.0
0.01,51.0,0.976997,3.7,2.0,1.31,1080.0,2081.37,0.901002,0.757238,0.995382,0.999769,0.157867,45.81,524.1234,4.753,2.6869,2.253829,1.179615,1.114011,
0.05,52.0,0.973113,1.1,2.2,654.55,746.68,1467.37,0.913728,0.784703,0.999755,0.999722,0.1521,45.69,533.5952,4.7341,2.687,2.293494,1.201581,1.134733,
0.01,53.0,0.975989,1.7,3.6,406.41,305.08,2167.69,0.872572,0.681824,0.999728,0.999758,0.171772,48.01,543.0986,4.7481,2.6871,2.337165,1.22637,1.15827,
0.1,54.0,0.968829,1.4,3.0,514.29,427.38,1427.72,0.904006,0.760187,0.999998,0.99966,0.15727,47.98,552.5309,4.7133,2.6871,2.377078,1.248664,1.179332,
0.1,55.0,0.968416,3.7,1.4,1.28,1542.86,1401.66,0.917166,0.793619,0.99947,0.999653,0.150116,44.57,561.9643,4.7113,2.6872,2.415042,1.269622,1.199062,
0.05,56.0,0.971232,1.7,2.3,404.42,707.26,1482.31,0.905217,0.76321,0.999984,0.999696,0.156653,47.08,571.4179,4.725,2.6873,2.454106,1.291343,1.219544,
0.1,57.0,0.967475,1.1,2.2,654.55,742.43,1306.45,0.908672,0.771907,0.999953,0.999637,0.154848,45.87,580.8343,4.7067,2.6874,2.492375,1.312587,1.239562,
0.05,58.0,0.970352,2.4,2.0,117.7,1080.0,1427.77,0.905596,0.764171,0.999978,0.999683,0.156456,46.84,590.2801,4.7207,2.6875,2.530679,1.33384,1.259578,
0.05,59.0,0.969957,3.2,1.4,5.83,1542.86,1556.82,0.904855,0.764912,0.997388,0.999677,0.156304,44.5,599.7284,4.7188,2.6875,2.568618,1.35485,1.279355,
0.05,60.0,0.969416,3.4,4.0,3.17,413.64,1651.43,0.874315,0.685953,1.0,0.999669,0.171064,52.04,609.1687,4.7161,2.6876,2.609241,1.377826,1.301097,
0.02,61.0,0.971229,2.5,3.7,88.36,418.98,1882.92,0.865696,0.664394,0.999998,0.999696,0.174706,50.5,618.6255,4.7249,2.6877,2.650259,1.40107,1.323101,1413.0
0.1,62.0,0.965425,1.9,0.8,306.2,2700.0,1094.4,0.514878,0.769514,0.01788,0.9996,0.155349,42.7,628.0254,4.6967,2.6878,2.686936,1.421309,1.342126,
0.05,63.0,0.968062,3.2,2.6,5.71,829.27,1524.93,0.889208,0.723198,0.999998,0.999647,0.16443,48.49,637.4505,4.7095,2.6879,2.725133,1.442665,1.362251,
0.05,64.0,0.967601,3.5,3.9,2.27,433.2,1644.12,0.86595,0.665054,1.0,0.999639,0.174596,51.99,646.8728,4.7073,2.6879,2.765005,1.465251,1.383608,
0.05,65.0,0.967142,2.8,3.7,19.79,463.03,1629.53,0.86718,0.668133,1.0,0.999632,0.174083,51.35,656.2906,4.7051,2.688,2.804416,1.487545,1.404673,
0.05,66.0,0.966719,3.5,2.2,2.24,981.82,1537.05,0.887327,0.718512,0.999992,0.999624,0.165293,47.22,665.7025,4.703,2.6881,2.841784,1.508407,1.424309,
0.01,67.0,0.969685,2.1,2.2,218.07,857.73,1992.32,0.864911,0.66424,0.998201,0.999673,0.174732,46.34,675.1413,4.7174,2.6882,2.880729,1.530338,1.445005,1413.0
0.01,68.0,0.969333,3.8,0.8,0.87,2700.0,2075.28,0.470221,0.675697,2.1e-05,0.999668,0.172812,42.16,684.5885,4.7157,2.6883,2.918999,1.551789,1.465225,1413.0
0.02,69.0,0.967688,2.4,2.2,112.01,942.55,1714.45,0.873145,0.683132,0.999909,0.999641,0.171548,47.06,694.0077,4.7077,2.6883,2.956677,1.572899,1.485107,1413.0
0.1,70.0,0.961652,3.4,3.7,3.0,473.1,1470.24,0.862762,0.657144,1.0,0.999522,0.175904,52.09,703.372,4.6783,2.6884,2.994752,1.59446,1.505454,
0.05,71.0,0.964459,1.6,3.7,450.0,267.83,1655.97,0.83851,0.596485,0.999998,0.999582,0.185524,48.92,712.7628,4.692,2.6885,3.034334,1.617084,1.526859,
0.05,72.0,0.96399,0.9,3.8,800.0,242.78,1675.58,0.820601,0.55177,0.999945,0.999572,0.192303,47.3,722.1464,4.6897,2.6886,3.074829,1.640384,1.54894,
0.01,73.0,0.967023,3.2,1.4,5.41,1542.86,2072.58,0.733416,0.645587,0.68814,0.999629,0.177789,44.07,731.5651,4.7045,2.6887,3.112419,1.661542,1.568873,1413.0
0.1,74.0,0.959823,1.6,2.8,450.0,475.54,1403.79,0.865796,0.664752,0.999999,0.999479,0.174647,48.05,740.9099,4.6695,2.6887,3.149032,1.682174,1.588298,
0.05,75.0,0.962684,3.2,3.8,5.36,446.82,1638.12,0.839126,0.598042,1.0,0.999545,0.185285,51.76,750.2831,4.6834,2.6888,3.187295,1.703988,1.608896,1413.0
0.05,76.0,0.962223,1.2,3.7,600.0,261.99,1662.18,0.818894,0.547474,0.999992,0.999535,0.192946,48.1,759.6515,4.6811,2.6889,3.226618,1.72658,1.630274,
0.01,77.0,0.965273,1.0,1.4,720.0,1391.47,1812.1,0.491802,0.633115,0.096592,0.999597,0.179792,43.38,769.0478,4.696,2.689,3.263397,1.74728,1.649754,
0.1,78.0,0.958081,3.7,3.1,1.12,626.26,1424.93,0.8567,0.642033,1.0,0.999434,0.178363,50.41,778.3731,4.661,2.689,3.299532,1.767698,1.668968,
0.05,79.0,0.960916,0.7,3.8,1028.57,237.28,1679.25,0.79644,0.491872,0.999474,0.999505,0.201204,46.51,787.7296,4.6748,2.6891,3.33938,1.790766,1.690827,1413.0
0.1,80.0,0.957196,2.5,2.8,76.64,666.42,1393.43,0.856421,0.641347,1.0,0.99941,0.178474,49.56,797.0461,4.6567,2.6892,3.374971,1.81087,1.70973,
0.02,81.0,0.962393,1.1,2.6,654.55,538.93,1794.27,0.830664,0.577697,0.999194,0.999539,0.188395,46.16,806.4153,4.682,2.6893,3.412087,1.831988,1.729635,
0.05,82.0,0.959965,2.4,0.6,106.25,3600.0,1442.82,0.46081,0.652282,1e-06,0.999483,0.1767,41.76,815.7687,4.6701,2.6894,3.44696,1.851517,1.747965,
0.02,83.0,0.961576,1.6,2.2,448.01,725.04,1721.55,0.840148,0.600927,0.999682,0.999521,0.18484,46.2,825.1291,4.678,2.6894,3.482974,1.871884,1.767121,1413.0
0.05,84.0,0.958813,3.7,3.5,1.09,514.62,1616.69,0.825952,0.565154,1.0,0.999454,0.190292,51.12,834.466,4.6645,2.6895,3.519593,1.892774,1.786804,
0.01,85.0,0.961971,3.4,0.6,2.76,3600.0,2054.17,0.430978,0.57768,0.0,0.999529,0.188398,41.5,843.8417,4.6799,2.6896,3.555724,1.913234,1.806056,
0.1,86.0,0.954688,3.2,2.6,5.07,814.36,1367.32,0.849531,0.624159,1.0,0.999336,0.181213,48.93,853.1341,4.6445,2.6897,3.590307,1.932764,1.824393,
0.05,87.0,0.957886,2.7,0.6,25.25,3600.0,1527.97,0.450442,0.626391,0.0,0.999429,0.180861,41.57,862.4689,4.66,2.6897,3.624659,1.952087,1.842522,
0.01,88.0,0.960608,2.9,2.2,12.36,981.82,2041.79,0.818236,0.547145,0.998695,0.999498,0.192995,46.34,871.8201,4.6733,2.6898,3.660805,1.972658,1.861885,
0.02,89.0,0.959127,2.9,1.7,12.3,1270.59,1779.23,0.835748,0.591333,0.998306,0.999462,0.186316,45.3,881.16,4.6661,2.6899,3.695617,1.992323,1.880346,
0.02,90.0,0.95873,3.2,1.6,4.97,1350.0,1788.99,0.833341,0.58746,0.996167,0.999452,0.186908,44.97,890.498,4.6641,2.69,3.730295,2.011922,1.898743,
0.02,91.0,0.958252,2.5,2.9,70.13,628.79,1820.14,0.811639,0.529385,0.999993,0.999439,0.195642,48.84,899.8259,4.6618,2.69,3.766124,2.032383,1.918001,
0.05,92.0,0.955805,1.0,0.9,720.0,2400.0,1089.5,0.452584,0.625684,0.00609,0.99937,0.180972,42.29,909.128,4.6499,2.6901,3.799397,2.05105,1.935479,
0.1,93.0,0.951884,2.7,1.9,24.24,1136.84,1346.05,0.847179,0.618333,0.999993,0.999242,0.18213,46.52,918.3971,4.6308,2.6902,3.832577,2.069767,1.953012,1413.0
0.05,94.0,0.954747,3.7,3.7,1.03,463.76,1632.88,0.796814,0.492365,1.0,0.999338,0.201131,51.33,927.6928,4.6448,2.6902,3.868531,2.090466,1.972516,1413.0
0.05,95.0,0.954376,1.0,2.6,720.0,529.29,1545.83,0.813321,0.533757,0.999882,0.999326,0.194991,46.12,936.9835,4.643,2.6903,3.903315,2.110338,1.991197,
0.05,96.0,0.953929,2.9,3.5,11.88,500.33,1618.2,0.798671,0.49702,1.0,0.999312,0.200441,51.22,946.2722,4.6408,2.6904,3.93871,2.13068,2.010345,
0.05,97.0,0.9535,2.0,3.9,242.52,287.22,1666.72,0.771459,0.428998,1.0,0.999298,0.21059,50.46,955.5565,4.6387,2.6905,3.975416,2.151988,2.030463,
0.02,98.0,0.955427,2.9,2.6,11.76,799.91,1782.9,0.80339,0.50881,0.999984,0.999359,0.198695,48.11,964.8563,4.6481,2.6905,4.010132,2.171842,2.049122,
0.01,99.0,0.956142,3.9,2.1,0.55,1028.57,2050.91,0.797109,0.495108,0.997974,0.99938,0.200725,46.06,974.1668,4.6515,2.6906,4.044974,2.191767,2.067851,
0.05,100.0,0.95228,2.8,4.0,16.04,385.68,1659.65,0.77371,0.434647,1.0,0.999256,0.209738,52.19,983.436,4.6328,2.6907,4.080872,2.212559,2.087456,
0.05,101.0,0.951921,0.3,3.0,2400.0,395.04,1601.8,0.38285,0.456563,0.00094,0.999243,0.206451,43.65,992.7021,4.631,2.6908,4.116049,2.232868,2.106581,
0.01,102.0,0.954966,2.2,1.3,161.76,1661.54,1885.52,0.597657,0.516512,0.477958,0.999345,0.197553,44.01,1002.0003,4.6458,2.6908,4.149784,2.252069,2.124591,
0.05,103.0,0.951078,1.6,3.4,433.61,317.06,1633.15,0.774695,0.437134,0.999998,0.999213,0.209363,48.58,1011.2611,4.6269,2.6909,4.184977,2.272423,2.143762,
0.1,104.0,0.947468,1.6,1.5,432.94,1262.93,1159.3,0.835019,0.588229,0.999786,0.999066,0.186791,45.0,1020.4828,4.6093,2.691,4.216637,2.290321,2.160489,
0.02,105.0,0.952655,3.1,2.2,6.24,981.82,1764.63,0.797678,0.494637,0.999923,0.999269,0.200795,46.82,1029.7575,4.6346,2.691,4.250222,2.309535,2.178517,
0.05,106.0,0.949902,1.1,3.7,654.55,246.13,1670.47,0.744803,0.362436,0.999987,0.999168,0.220919,47.83,1039.0066,4.6212,2.6911,4.286457,2.330717,2.19852,
0.05,107.0,0.949547,4.0,2.3,0.4,939.13,1516.5,0.805523,0.514235,0.999996,0.999154,0.197891,47.54,1048.2494,4.6195,2.6912,4.319195,2.349414,2.216038,
0.05,108.0,0.949243,1.0,1.6,720.0,1136.08,1348.73,0.814049,0.542573,0.992979,0.999141,0.193678,44.19,1057.4881,4.618,2.6913,4.351164,2.36757,2.233018,
0.01,109.0,0.952167,2.4,2.7,95.63,674.9,2074.33,0.765802,0.415071,0.999807,0.999252,0.212705,47.7,1066.7578,4.6322,2.6913,4.385694,2.387521,2.251784,
0.02,110.0,0.9507,1.7,2.2,376.4,741.18,1724.23,0.78853,0.471913,0.999813,0.999198,0.204165,46.51,1076.0117,4.6251,2.6914,4.418817,2.406502,2.269584,
0.05,111.0,0.947932,2.2,4.0,157.41,299.99,1673.13,0.741429,0.35403,1.0,0.999086,0.222273,51.29,1085.2412,4.6116,2.6915,4.454222,2.427207,2.289113,
0.1,112.0,0.944308,2.5,1.9,58.34,1136.84,1299.82,0.814673,0.53723,0.999994,0.998916,0.194474,46.57,1094.4329,4.594,2.6915,4.485538,2.445046,2.305788,
0.02,113.0,0.94961,2.5,1.4,57.85,1542.86,1724.49,0.788281,0.494147,0.976978,0.999156,0.200867,44.39,1103.6806,4.6198,2.6916,4.517658,2.463382,2.322948,
0.02,114.0,0.949148,3.3,2.6,3.27,799.05,1785.37,0.774125,0.435759,0.999985,0.999137,0.20957,48.1,1112.9194,4.6175,2.6917,4.550802,2.482473,2.340862,
0.05,115.0,0.94642,1.4,3.7,514.29,244.82,1667.89,0.732985,0.332955,0.999997,0.999019,0.225735,48.54,1122.1346,4.6042,2.6918,4.585915,2.503055,2.360273,
0.01,116.0,0.949528,0.2,1.4,3600.0,1349.56,1806.39,0.380734,0.452258,0.0,0.999153,0.207094,41.51,1131.3767,4.6194,2.6918,4.618385,2.521669,2.377713,
0.02,117.0,0.947928,3.9,3.9,0.51,410.47,1904.74,0.731376,0.328899,0.999999,0.999086,0.226414,51.07,1140.6072,4.6116,2.6919,4.653248,2.542064,2.396933,
