Terminal Current [C],Cycle,SOH(measured),Stage1 [C],Stage2 [C],S1 [s],S2 [s],S3 [s],Total,r_soh,r_time,r_soh_val,delta_soh,Avg Temp [°C],Throughput [Ah],Discharge Cap [Ah],Terminal V [V],LLI [%],LAM_neg [%],LAM_pos [%],c
0.05,1.0,0.992146,3.6,2.1,0.15,1028.57,1969.77,0.999417,0.998606,0.999994,0.999887,0.026521,33.49,43.5724,4.8267,2.7684,0.026521,0.00227,0.0,
0.05,2.0,0.99174,1.1,2.9,654.55,418.75,2012.7,0.999367,0.998491,0.999985,0.999885,0.029459,33.59,53.2268,4.8247,2.7685,0.05598,0.004538,0.0,
0.1,3.0,0.986766,0.7,2.1,1028.57,743.68,1694.96,0.999159,0.998627,0.999343,0.999854,0.025947,31.31,62.8311,4.8005,2.7686,0.081927,0.006771,0.0,
0.02,4.0,0.994205,0.1,0.4,7200.0,5400.0,1825.22,0.599465,0.998715,0.0,0.999898,0.023499,25.4,72.5108,4.8367,2.7687,0.105426,0.009059,0.0,
0.05,5.0,0.990677,3.1,1.8,0.9,1200.0,1988.56,0.999117,0.997893,0.999959,0.999879,0.041838,32.38,82.1576,4.8196,2.7688,0.138385,0.019118,0.0078,
0.05,6.0,0.989935,4.0,3.0,0.0,644.54,1991.3,0.996167,0.99048,1.0,0.999875,0.09797,36.69,91.7955,4.8159,2.7689,0.197934,0.053058,0.039485,
0.1,7.0,0.984713,2.2,2.8,23.45,696.53,1759.61,0.9964,0.99108,1.0,0.999839,0.095536,36.42,101.3826,4.7905,2.7691,0.254112,0.084894,0.069099,
0.01,8.0,0.99259,1.0,2.0,720.0,802.45,2474.73,0.950168,0.991744,0.883731,0.999889,0.092647,30.95,111.045,4.8289,2.7692,0.307233,0.114597,0.096528,
0.01,9.0,0.992031,1.6,1.6,313.22,1264.74,2391.31,0.960823,0.992637,0.909476,0.999886,0.088374,30.91,120.7018,4.8261,2.7694,0.356815,0.141932,0.121591,
0.05,10.0,0.987605,3.8,1.0,0.03,2160.0,2026.96,0.810384,0.993564,0.532465,0.99986,0.083356,29.24,130.3245,4.8046,2.7695,0.402675,0.166926,0.144348,
0.02,11.0,0.989872,2.4,0.9,10.84,2400.0,2319.51,0.599186,0.993078,0.004949,0.999874,0.086068,28.64,139.9696,4.8156,2.7696,0.448821,0.192138,0.167305,1413.0
0.1,12.0,0.98179,2.8,1.7,2.6,1270.59,1762.56,0.996854,0.992237,0.999991,0.999816,0.09035,32.4,149.5304,4.7763,2.7698,0.495801,0.21808,0.191044,
0.05,13.0,0.985808,1.4,2.8,454.27,473.22,2002.79,0.994087,0.985297,0.999997,0.999848,0.114264,34.22,159.1287,4.7959,2.7699,0.552375,0.250511,0.221244,
0.1,14.0,0.980208,0.5,3.6,1440.0,102.24,2007.68,0.948562,0.873003,0.9985,0.999801,0.198601,32.01,168.6774,4.7686,2.7702,0.643221,0.306046,0.274588,
0.01,15.0,0.987968,2.8,2.8,2.51,704.63,2555.27,0.992803,0.982162,0.999915,0.999862,0.12154,34.21,178.2963,4.8064,2.7703,0.698979,0.338002,0.304295,
0.02,16.0,0.986192,3.3,3.0,0.4,634.66,2293.32,0.991763,0.979485,0.999997,0.99985,0.12682,35.39,187.8985,4.7977,2.7705,0.75547,0.370509,0.334565,
0.1,17.0,0.978093,1.0,3.3,720.0,295.78,1843.75,0.982084,0.955322,0.999998,0.99978,0.156571,34.3,197.4211,4.7583,2.7706,0.821964,0.409922,0.371795,
0.01,18.0,0.986053,2.2,1.8,20.63,1200.0,2538.8,0.989695,0.986373,0.987939,0.999849,0.111409,31.53,207.0219,4.7971,2.7708,0.869732,0.436699,0.396334,
0.01,19.0,0.985326,3.6,3.0,0.12,631.91,2569.45,0.989292,0.973354,0.999954,0.999844,0.136736,34.75,216.6153,4.7935,2.7709,0.925946,0.469174,0.426575,
0.01,20.0,0.984978,1.0,1.0,720.0,2061.77,2203.0,0.595978,0.989633,0.00039,0.999841,0.101157,28.53,226.2021,4.7918,2.771,0.968116,0.492239,0.447406,
0.05,21.0,0.980393,2.3,2.5,13.93,819.04,1964.47,0.992436,0.981188,0.999999,0.999803,0.123545,34.98,235.7461,4.7695,2.7712,1.017459,0.520278,0.473244,
0.1,22.0,0.97513,0.7,2.7,1028.57,456.06,1786.63,0.988791,0.972197,0.999907,0.999747,0.138355,32.38,245.2393,4.7439,2.7713,1.070908,0.55123,0.502029,
0.1,23.0,0.974628,1.0,1.0,720.0,2055.55,1392.36,0.827862,0.990255,0.579529,0.999741,0.098843,29.0,254.7252,4.7415,2.7714,1.10988,0.572496,0.521132,
0.1,24.0,0.974095,2.5,2.4,6.88,873.67,1730.37,0.992135,0.980469,1.0,0.999735,0.124961,35.2,264.2079,4.7389,2.7716,1.157039,0.599335,0.545808,
0.1,25.0,0.973266,0.7,3.5,1028.57,226.42,1889.15,0.912723,0.781971,0.999974,0.999724,0.222697,33.28,273.6838,4.7349,2.7718,1.235182,0.647078,0.591398,
